,mean,std
Coherency20,0.019315797164450674,0.004417385835834571
Energy20,0.06499516307853963,0.025595656187567366
MeanInt20,0.011209138360477959,0.0015585604149923596
VarInt20,0.021804010135362404,0.007090207206714949
Density20,0.013748801827124912,0.019017194483245316
VarDensity20,0.00876712875530902,0.0104061792706995
OrientationRef20,0.011486456923863348,0.001210616788058069
Coherency60,0.021867861609904678,0.005573962457374768
Energy60,0.08500037052524419,0.05193636579785953
MeanInt60,0.01410352464356495,0.0026941916578180295
VarInt60,0.027104392347335117,0.021836544455348526
Density60,0.022221744661227432,0.02068537676441204
VarDensity60,0.010324061427631544,0.00881417953882116
OrientationRef60,0.01631310640044218,0.0018235566564803044
Coherency100,0.03640056240334718,0.01900297182124521
Energy100,0.11179797016188422,0.09114392266124806
MeanInt100,0.02767687543445472,0.021438504102702722
VarInt100,0.04348475894567154,0.033783754301293815
Density100,0.03223129757410902,0.03879081062297081
VarDensity100,0.010551532154737307,0.0051013426531052826
OrientationRef100,0.01909127674906007,0.002211823771100812
Coherency140,0.04479677891500278,0.012994614898367599
Energy140,0.1523739769115071,0.10096731958279151
MeanInt140,0.03690122991463695,0.016802720950640445
VarInt140,0.03400181065603472,0.008604563789262751
Density140,0.05535519346111864,0.040647368444904755
VarDensity140,0.02261292732747277,0.016044978951283106
OrientationRef140,0.024462251530485,0.0022361778145665676
