,mean,std
Coherency20,0.0025630822981366763,0.00029262372406266995
Energy20,0.02932938664596276,0.0004481331806095783
MeanInt20,0.000796292701863388,0.0002117869057542663
VarInt20,0.018331715838509344,0.0002757628971142795
Density20,0.0008040566770186719,0.00015650372059700435
VarDensity20,0.0003629658385093437,0.00017375418203279742
OrientationRef20,0.0007492236024845056,0.00015296028615357265
Coherency60,0.003113839285714326,0.00023155097993051224
Energy60,0.03049835015527954,0.0004638246717834819
MeanInt60,0.0014217779503105988,0.00014117310982894425
VarInt60,0.006692061335403765,0.0002517541711608264
Density60,0.0006953610248447428,0.00033094548875641595
VarDensity60,0.0007749417701863659,0.00018058871546934268
OrientationRef60,0.0025296001552795435,0.00013829240215922154
Coherency100,0.005309103260869597,0.00023294402123116213
Energy100,0.03093022127329196,0.0006592040771460781
MeanInt100,0.00490489130434787,0.00025126125236575884
VarInt100,0.013430221273291975,0.00045542602596564005
Density100,0.002769312888198794,0.00024460613273665454
VarDensity100,0.0010801630434782994,0.0002902029139751353
OrientationRef100,0.004963606366459672,0.0002615165011203538
Coherency140,0.012786781832298177,0.00026494254158868427
Energy140,0.034646253881987624,0.00041928638928763674
MeanInt140,0.009689440993788856,0.00035671405149783134
VarInt140,0.012290372670807492,0.00043488008071670313
Density140,0.010100446428571474,0.00025994329501030145
VarDensity140,0.001985636645962752,0.00022304332840268373
OrientationRef140,0.00822496118012428,0.00019252809264921604
