,mean,std
Angle20,0.006555718925450924,0.0008513957437268041
Coherency20,0.019152822052391154,0.03428922611189771
Energy20,0.0425665657974964,0.035977163034491645
MeanInt20,0.007319138087385625,0.0031755624776265835
VarInt20,0.011713564302495856,0.0034715059777767412
Density20,0.009995091840036158,0.01600383540280637
VarDensity20,0.0038400200509732126,0.0040137385417323155
OrientationRef20,0.006015739012016306,0.0007154063320525798
Angle60,0.008525510305035504,0.000911069928356638
Coherency60,0.014423543186417597,0.00669591365262365
Energy60,0.0811363099157696,0.06676095224342406
MeanInt60,0.012295628159713624,0.009966517002478113
VarInt60,0.027406243303587197,0.04346074142971471
Density60,0.027854070493188825,0.0305306890051283
VarDensity60,0.00517848018308438,0.005373085114601061
OrientationRef60,0.009451733307645701,0.0013871833746462317
Angle100,0.010597534631643918,0.0014430067398192418
Coherency100,0.022859516161406534,0.008924249052756843
Energy100,0.07642252896304065,0.08845365971451209
MeanInt100,0.02169841198264812,0.027494461905117503
VarInt100,0.014813219090337285,0.005066172627498499
Density100,0.054343080509098605,0.04798698469660774
VarDensity100,0.007945472586290313,0.0063201423288064525
OrientationRef100,0.010879482392153498,0.0013512691730218455
Angle140,0.013452083358263603,0.005214915502478102
Coherency140,0.02910240012611593,0.026740482836872116
Energy140,0.06449652362417364,0.060018665306162226
MeanInt140,0.0400269248039063,0.04500405304773189
VarInt140,0.042935122761236275,0.051974777439411236
Density140,0.09095838553250936,0.07362804640041083
VarDensity140,0.013452036698302913,0.006632335791524065
OrientationRef140,0.014071075377852524,0.002514183584394291
Dist,0.17851602247833237,0.04507933489673355
