,mean,std
Angle20,-0.004102541223499201,0.0001540887632369613
Coherency20,-0.005463987436647877,0.00016977377257714081
Energy20,0.0052369905061032005,0.00015978842487670116
MeanInt20,-0.01619333999571706,0.0001812639680589779
VarInt20,0.006419266186023276,0.0001175905120942486
Density20,-0.012232850310514676,0.00017607953444191026
VarDensity20,-0.003054464986794225,8.365109334332801e-05
OrientationRef20,-0.0024468199014919256,7.228025350594163e-05
Angle60,-0.0029482832464844066,9.366665361715056e-05
Coherency60,-0.007269077021914494,0.00018886765519254026
Energy60,-0.004419837247483771,0.00017481663045061405
MeanInt60,-0.0010793061603255327,0.00015377294523914904
VarInt60,-0.007726104647012666,0.00017379191227067753
Density60,-0.00382539795845529,0.00015883489002786356
VarDensity60,-0.0005956884859733003,0.0001010915895044767
OrientationRef60,-0.0005614247983439346,6.152073334235836e-05
Angle100,-0.0063166535798415465,0.0002350677908505246
Coherency100,-0.0017611892354915005,9.458020246626823e-05
Energy100,-0.005955100292669014,0.00016719403012610556
MeanInt100,-0.01628934970376187,0.00010901192642586766
VarInt100,-0.011827218216860613,0.00014250245707991892
Density100,-0.014583125133842512,0.00025725114530719673
VarDensity100,-0.0025290884431437123,0.0001544548721844773
OrientationRef100,-0.004009386822756822,0.00019452771489292565
Angle140,-0.005906203155114587,0.00017515541642733286
Coherency140,-0.004845456492254996,0.00012606876954514816
Energy140,-0.006595046041830255,0.00024941353425090776
MeanInt140,-0.014864729816546508,0.00020099834808586965
VarInt140,-0.0032794988935684333,0.00016745487684094576
Density140,0.039770504675565685,0.0002639600916223551
VarDensity140,-0.001580769505318025,0.0001179430079823293
OrientationRef140,-0.000920836605039621,0.00012940264822817592
Dist,0.034906488685844804,0.00034032756025376257
