,mean,std
Coherency20,0.02224626125255476,0.03740106460677288
Energy20,0.05474310517255628,0.04359003327343494
MeanInt20,0.012111995797466931,0.013618447229074968
VarInt20,0.015432030169037258,0.003992278395093293
Density20,0.01021862839458317,0.01688156069316387
VarDensity20,0.003535889916692898,0.0012988768156709807
OrientationRef20,0.008305774800149867,0.0018107057242926512
Coherency60,0.01760941734246681,0.006424106621274781
Energy60,0.07483476177418415,0.059030260693962666
MeanInt60,0.011070310662791051,0.0029454171926656773
VarInt60,0.017007534757836285,0.007373477407614776
Density60,0.04872882281375071,0.04993180995364186
VarDensity60,0.00566417131970454,0.00402539132601157
OrientationRef60,0.01376594492629721,0.007479986369833111
Coherency100,0.024405907477164368,0.01040204135194576
Energy100,0.10890226204544137,0.11875496726326853
MeanInt100,0.027264130741291335,0.031266443084223675
VarInt100,0.028454521455520392,0.03688091787176407
Density100,0.06736340675982662,0.06321071708227137
VarDensity100,0.010432568794082902,0.006169814809936812
OrientationRef100,0.014652591327735786,0.0027634961399693515
Coherency140,0.03586497241178085,0.015448113843567037
Energy140,0.15254064344239857,0.1312434251819683
MeanInt140,0.02935675616601887,0.018451231701875258
VarInt140,0.029987133507175415,0.010655457517819818
Density140,0.11684425192274432,0.06521551665312195
VarDensity140,0.017137293254722283,0.010797993142757692
OrientationRef140,0.021518911594024883,0.010453046703923547
