,mean,std
Angle20,0.0138913575699656,0.0012349974151823445
Coherency20,0.03433400681710096,0.013121318679951834
Energy20,0.06943423838935255,0.01185602224022667
MeanInt20,0.012200909467001567,0.0014248662057313917
VarInt20,0.017624808140985257,0.0029385492963044943
Density20,0.0071432376365278445,0.004574128298492473
VarDensity20,0.004251479403038116,0.000620922833028931
OrientationRef20,0.013579163379409802,0.002582962948412639
Angle60,0.019119531987194037,0.0024734644695392784
Coherency60,0.02622101706294706,0.003753953376147359
Energy60,0.07258495762337752,0.0189391945653521
MeanInt60,0.016932020387522593,0.00446901608876924
VarInt60,0.02712741175797926,0.01323116035593613
Density60,0.010570665123040338,0.006456990213922484
VarDensity60,0.01032475182246274,0.008734137658594234
OrientationRef60,0.018115911736983726,0.001858761844455304
Angle100,0.02320948860365386,0.003143350039738711
Coherency100,0.03538205407751777,0.004880220149589712
Energy100,0.06823133673450005,0.020269795204105188
MeanInt100,0.02461161407866846,0.00430669300684047
VarInt100,0.0364174898401316,0.015009866720040349
Density100,0.02534414800513796,0.01682782062014368
VarDensity100,0.019789030207146393,0.01627926942044212
OrientationRef100,0.025454699838758272,0.0054034506179605315
Angle140,0.027510851837798587,0.0029943623425943804
Coherency140,0.031172718548716855,0.004496972113405307
Energy140,0.07170648878298526,0.011579973518803936
MeanInt140,0.032432869384295834,0.005781305656200842
VarInt140,0.05509770630282315,0.018014168645141392
Density140,0.03498261569259975,0.015840808434118222
VarDensity140,0.018548580836409923,0.008865629537131827
OrientationRef140,0.029702457273488626,0.005794511110098304
Dist,0.06695038165047865,0.0082509215676482
