,mean,std
Angle20,0.0007938664596273237,0.00018596098186751686
Coherency20,-0.0017954192546583813,0.00034323224920625465
Energy20,0.006123835403726685,0.0006806567359460754
MeanInt20,-0.00014897127329193126,0.00018109651481507287
VarInt20,-0.003961568322981379,0.00019819533103786205
Density20,-0.001027270962732918,0.00015779231976301795
VarDensity20,-6.211180124222615e-05,0.0001618694560238853
OrientationRef20,0.0006065605590061974,0.00024723872676353243
Angle60,0.0024364324534161485,0.00023141263910963665
Coherency60,-0.00031055900621118626,0.0002548455364178394
Energy60,0.004895671583850935,0.0003468114478379908
MeanInt60,-0.0007055512422360355,0.0002513212219362389
VarInt60,-0.009208074534161493,0.00043729582077688627
Density60,-0.0014868012422360355,0.0002839113981298636
VarDensity60,-0.0009700116459627428,0.00012932485630057415
OrientationRef60,-0.0002406832298136652,0.00018141024718291694
Angle100,0.00456182065217392,0.00020007835623080106
Coherency100,0.004346370341614903,0.00039589285335534836
Energy100,0.0014625388198757805,0.0005160826547929789
MeanInt100,-0.0009467197204969136,0.00031024381387345407
VarInt100,-0.00637131211180123,0.00046937347622326306
Density100,-0.004864615683229823,0.00046818931825721045
VarDensity100,-0.0023432647515528203,0.00037673190665978164
OrientationRef100,0.0010379464285714235,0.00021528248475185686
Angle140,0.0053246312111801305,0.0002505409677980964
Coherency140,0.0018866459627329135,0.0002457370194600562
Energy140,0.015019409937888195,0.0004556883399574912
MeanInt140,-0.001793963509316765,0.00029651062590435823
VarInt140,0.0007026397515527804,0.0006172840900364312
Density140,-0.003112383540372676,0.00023433229826528098
VarDensity140,-0.002384996118012417,0.0003599303984847982
OrientationRef140,0.005495438664596275,0.0003070150474372118
Dist,0.023585986024844706,0.00037474377562979826
