,mean,std
Coherency20,0.0337381159918579,0.012462821079718654
Energy20,0.08692281543141765,0.010921282331142148
MeanInt20,0.01559884519451198,0.001662360291129005
VarInt20,0.023045215319134574,0.0036933041795243447
Density20,0.005652926078710378,0.001111304133471504
VarDensity20,0.006530726048691123,0.0046961120532674665
OrientationRef20,0.016367117917005052,0.0025139541987179684
Coherency60,0.030055490049592484,0.006115768461689709
Energy60,0.08691734949527424,0.01886801573545945
MeanInt60,0.02341222896847995,0.005670721422944527
VarInt60,0.026107991734419977,0.008012084118157714
Density60,0.01964315810975815,0.016061162214834977
VarDensity60,0.012664849985065193,0.010656978570150915
OrientationRef60,0.023487915131316216,0.00329553172769321
Coherency100,0.03465905353611483,0.005714617274662484
Energy100,0.07327990095519425,0.023425345190397108
MeanInt100,0.029517034715878424,0.004999613125311703
VarInt100,0.056612641214403535,0.02279116471782854
Density100,0.018279454147454043,0.008324341301835033
VarDensity100,0.023849001593488454,0.014717988469428282
OrientationRef100,0.02790040593478484,0.004551144088413842
Coherency140,0.04054481871467928,0.0062403723076310605
Energy140,0.0878925755861383,0.027452427579305314
MeanInt140,0.040409561736823994,0.004068229540378404
VarInt140,0.06027465705987359,0.01058550819049668
Density140,0.03317352391415093,0.014941397492855906
VarDensity140,0.03012604020719556,0.014980727677840852
OrientationRef140,0.033336585228585104,0.005310108438564529
