,mean,std
Coherency20,0.00013150232919258986,0.0005072944712765666
Energy20,0.010120826863354093,0.0009020690325220712
MeanInt20,-0.0008812111801241973,0.00023981486872828736
VarInt20,-0.005353260869565157,8.77964509153767e-05
Density20,-0.0006075310559005787,0.00011663741605257702
VarDensity20,-0.00030861801242231256,0.000202089521085878
OrientationRef20,0.001479522515527998,0.0002461453539648188
Coherency60,0.0008841226708074968,0.00041950731582127273
Energy60,0.0070079580745342155,0.0006298098649076269
MeanInt60,-0.0007894992236024412,0.0002426344136058975
VarInt60,-0.007642177795031013,0.0005436881336258678
Density60,-0.003967876552794991,0.0002721724757043252
VarDensity60,-0.0030575504658384768,0.00033770956237949893
OrientationRef60,0.0018012422360248915,0.00026908153077941023
Coherency100,0.0007045807453416542,0.00027346494723691186
Energy100,-0.004014460403726649,0.0002211908055976289
MeanInt100,-0.002576669254658348,0.0002588790233306655
VarInt100,-0.010070846273291878,0.0005448508205866887
Density100,-0.007467003105590031,0.0002553236970310668
VarDensity100,-0.002409743788819829,0.00032304720656336426
OrientationRef100,0.001235927795031111,0.00022394150122209526
Coherency140,0.0031749805900621263,0.00017679366412599182
Energy140,0.014611315993788853,0.0006731725279257311
MeanInt140,-0.0066682841614906455,0.0005268993796067646
VarInt140,-0.001658093944099337,0.0004065678374360936
Density140,-0.007953707298136613,0.0002849317564170527
VarDensity140,-0.003527270962732876,0.00045033801026376314
OrientationRef140,0.0022209821428571864,0.0001621637584232537
