,mean,std
Angle20,0.010872441267397859,0.0013939108811529134
Coherency20,0.02244370691997148,0.007325990237249243
Energy20,0.06641239140102843,0.024048648433821037
MeanInt20,0.011455747905622805,0.0038601996760722515
VarInt20,0.013053265873749349,0.002879575341212284
Density20,0.007600498405788684,0.008908922440069697
VarDensity20,0.0076411816265243284,0.007759864452822285
OrientationRef20,0.016294715053128215,0.02192114453246295
Angle60,0.016712448711227675,0.00675997874981889
Coherency60,0.019738699659104294,0.004481687953411738
Energy60,0.061959104941182036,0.022804195049517733
MeanInt60,0.01346130854688943,0.002243176865251365
VarInt60,0.03569474859880942,0.04109939769523982
Density60,0.018860256000431324,0.012955326920985171
VarDensity60,0.007365371094170339,0.005461828754562079
OrientationRef60,0.015471479577898035,0.0031769088935084135
Angle100,0.018808271062774447,0.0028126817728823727
Coherency100,0.03165885365045841,0.02131119599029562
Energy100,0.06880498332903974,0.04411604964159715
MeanInt100,0.02195253103349363,0.006471236933634092
VarInt100,0.037576715304521,0.03361022367860576
Density100,0.054371634429788936,0.043422160169329094
VarDensity100,0.010035337084155509,0.008167921755513152
OrientationRef100,0.018663484593661423,0.0026467949622286224
Angle140,0.021162237431002765,0.003367534017252667
Coherency140,0.028022198047002844,0.004086018704486687
Energy140,0.06113639582824267,0.014760077586900566
MeanInt140,0.027812625747940002,0.006187071254062195
VarInt140,0.05568925232019199,0.04165424949043958
Density140,0.07888067339493263,0.054616565051060474
VarDensity140,0.017742628890460074,0.012865959372139133
OrientationRef140,0.023611196197030362,0.004301444017744624
Dist,0.07903361607237985,0.008584459966741745
