,mean,std
Angle20,-0.0016541152116496317,0.00013808548206938778
Coherency20,-0.0003228281818830503,0.00012458898434818648
Energy20,-0.025485580698122613,0.0002271305233190544
MeanInt20,-0.0005030694553501247,0.00019251244150017254
VarInt20,-0.0066296666428724334,0.00010288768152900732
Density20,0.0010762723963166575,0.00020973856588416982
VarDensity20,-0.000767185380826596,0.00010489991227780993
OrientationRef20,-0.0005867656506531316,9.687027170352915e-05
Angle60,0.013524698408166202,0.0001978602064784494
Coherency60,0.01029177671496897,0.00019048186625652747
Energy60,0.0012279605967592366,0.00010017590558483541
MeanInt60,-0.03450371189949316,0.0002498970620644834
VarInt60,0.013738132629024225,0.0001990717155404458
Density60,-0.05256727817831393,0.00025155458882483505
VarDensity60,0.001631094296523683,0.00010454882755816054
OrientationRef60,-0.006275786994075228,0.00018568083708770292
Angle100,0.0025683489185523546,0.0001621263217650791
Coherency100,-0.0014419301877364621,0.00014794480726361124
Energy100,0.0020850881576129797,0.00018799412450140563
MeanInt100,0.0007855664215861369,0.00017182295083158433
VarInt100,-0.00785263045185237,0.00014692103394819885
Density100,-0.05345634948961382,0.00028243986108219047
VarDensity100,-0.018343743307873507,0.00024068173559067222
OrientationRef100,-0.0005764151616817536,5.78265820044987e-05
Angle140,-0.0020700977942751052,0.00017226942670327166
Coherency140,-0.026357163252195014,0.00022790011406901184
Energy140,-0.008935505746305927,0.0002843353004810069
MeanInt140,-0.0036337354557784084,0.00019647070311241862
VarInt140,-0.0021948390320508326,0.0001405089051797606
Density140,-0.03642979513170104,0.00045487476777647886
VarDensity140,0.004135555714183725,0.00015293062962626206
OrientationRef140,0.0012274252266400222,0.0001414201560550362
Dist,0.012425405096723541,0.000346044119697017
