,mean,std
Coherency20,0.03318650476313659,0.031126494441468165
Energy20,0.07051412419372276,0.007455290337771336
MeanInt20,0.01619442125700108,0.00985285227040283
VarInt20,0.020221792727140947,0.0049694919966307
Density20,0.006554706200809784,0.003656572127710855
VarDensity20,0.00418452571043139,0.0008605721721760078
OrientationRef20,0.013102333054003143,0.0031429408403142187
Coherency60,0.026835216301548177,0.005295372748073526
Energy60,0.06784517262358225,0.01334418651946202
MeanInt60,0.017361677664568143,0.004172931579141188
VarInt60,0.023558934037127385,0.00667985100314824
Density60,0.022573767554549,0.01769005879300538
VarDensity60,0.01221396591914306,0.01099163386345511
OrientationRef60,0.01890431255216211,0.0034185792885285606
Coherency100,0.028579945733059144,0.004972506993422933
Energy100,0.07302488972571357,0.033602608634537776
MeanInt100,0.03038375318513111,0.02325840326232115
VarInt100,0.06522564552824711,0.055876698731595016
Density100,0.06862624750473643,0.0496577245807169
VarDensity100,0.014023214645775496,0.01192646865070372
OrientationRef100,0.02397445971815688,0.005450593313763877
Coherency140,0.03230670459088083,0.004801475038342172
Energy140,0.08509897686507603,0.044997829567458944
MeanInt140,0.031171427920170552,0.005399205538382856
VarInt140,0.05103863413562514,0.013884303825973015
Density140,0.0947447596185682,0.06410428149095551
VarDensity140,0.018746304533300652,0.011372082353526639
OrientationRef140,0.029803581736633243,0.004250963716952188
