,mean,std
Coherency20,-0.005336390891569764,0.00019997513260305456
Energy20,-0.004878649439645988,0.00029199334757015977
MeanInt20,-0.0023281461917339487,0.00012933913723887997
VarInt20,0.01135073881076446,0.0002104385968104401
Density20,0.007849953601256288,0.00013509019441527645
VarDensity20,-0.004338460989364035,0.00017285160344357518
OrientationRef20,-0.013992433435648577,0.00041353605884951895
Coherency60,-0.02451816689271189,0.0003509776602131419
Energy60,0.00014579912913122994,0.0001431708897192145
MeanInt60,-0.03925030337640093,0.00033851506215013
VarInt60,-0.008147619387536642,0.0001940148614372442
Density60,-0.05295720608180461,0.0002751840024948258
VarDensity60,0.01323399243343557,0.0001680921979550472
OrientationRef60,0.0017852808908558448,0.0001643841045973604
Coherency100,-0.009165714897565912,0.00023989845501273935
Energy100,-0.0305448283246485,0.00040599387047326216
MeanInt100,-0.04106556499393253,0.00034858424041515174
VarInt100,-0.028629630951531204,0.00032453268372819883
Density100,-0.0591874866157471,0.0003259071433197461
VarDensity100,-0.003601791705332347,0.00017343761010089225
OrientationRef100,0.013668177600114174,0.00023319239030033875
Coherency140,-0.012997180384038864,0.00034385088018277897
Energy140,0.008865372260689508,0.00021244564478791402
MeanInt140,-0.01841423370690275,0.00030155508428399575
VarInt140,0.0013098722249981543,0.0001261601828429836
Density140,-0.05878042686844176,0.00032520257220628785
VarDensity140,-0.0018580912270683813,0.00012009433630512331
OrientationRef140,0.0034279748732956917,0.00014970475591864218
