,mean,std
Angle20,0.008063346898780485,0.0008582551228476546
Coherency20,0.01533595183150881,0.004815649037932654
Energy20,0.07808757935016429,0.09328698052260857
MeanInt20,0.00898345597267117,0.004425744726994183
VarInt20,0.016024939812004594,0.004362063947485357
Density20,0.004640079958803639,0.0025842530448021107
VarDensity20,0.003752322350261428,0.002618319546129534
OrientationRef20,0.007652342178191762,0.000840432308086826
Angle60,0.011143339508824604,0.0012356187857141695
Coherency60,0.012942303869593602,0.004155601174160471
Energy60,0.16327901187922306,0.17271333982621712
MeanInt60,0.01633287012934395,0.01804176272174187
VarInt60,0.03437525539710941,0.049688811375256874
Density60,0.008049263358136183,0.005117994362328945
VarDensity60,0.00771073839615213,0.011619028397277287
OrientationRef60,0.010319222029269996,0.0010218412941097026
Angle100,0.011975217034166995,0.0016710422521090697
Coherency100,0.013348478859032155,0.0017848763715981161
Energy100,0.1661618702638225,0.178598560549849
MeanInt100,0.02159248723870587,0.008441860223582672
VarInt100,0.034384920445908976,0.05114963981831507
Density100,0.015706400987674205,0.006821135743883929
VarDensity100,0.012120248067834677,0.008800940609839865
OrientationRef100,0.01139242441920455,0.0017680716156506073
Angle140,0.014758219313109945,0.001600318086737813
Coherency140,0.016036803436024233,0.00276119736138292
Energy140,0.08169146396973585,0.05253006138963359
MeanInt140,0.036778952704651896,0.017468754665773953
VarInt140,0.04819182020466705,0.05944979866032572
Density140,0.025488851005101735,0.017673696573422423
VarDensity140,0.01507102833039985,0.01440862067244362
OrientationRef140,0.012976703377758015,0.0015817954564878876
Dist,0.055632087422162364,0.035241646273922296
