,mean,std
Angle20,0.0012259524707657564,0.00017632951252310818
Coherency20,0.003327585277792777,0.0003276711208755786
Energy20,0.0272844030105441,0.0004681930462998158
MeanInt20,0.001744175603096787,0.00014833079444020208
VarInt20,0.015118284205421162,0.0004011159927220132
Density20,0.0015825115410178058,0.0002789366660916292
VarDensity20,0.0010876398843204127,0.00016128690494948903
OrientationRef20,0.0007517378886673809,0.0001661935641450764
Angle60,0.0017792028165472319,0.0002597905031619584
Coherency60,0.002875824037649799,0.00022137856531157427
Energy60,0.03432217851304988,0.000850350481202116
MeanInt60,0.0014819205690575154,0.0003447242512407148
VarInt60,0.008755007095256095,0.0003442746840207103
Density60,0.0015250309856119303,0.0002268138760599035
VarDensity60,0.0010229742594887957,0.000141691796174438
OrientationRef60,0.0016884913150473468,0.00018096892169719276
Angle100,0.003324890876758113,0.00036590102732393626
Coherency100,0.004048786621400746,0.00019961210423859207
Energy100,0.04864202187853643,0.0006752920143465719
MeanInt100,0.005169657451815146,0.00023227480330070206
VarInt100,0.005029548598013356,0.000249254345771551
Density100,0.005239711878716058,0.00018102240214609496
VarDensity100,0.00430295845233607,0.00018798476414278906
OrientationRef100,0.0026476980833827655,0.00022635107003567722
Angle140,0.005029548598013356,0.0002498361878579929
Coherency140,0.006078568734170409,0.00021896049635081066
Energy140,0.023373928975588775,0.0005102988172205377
MeanInt140,0.012863968673097314,0.0003171582040658617
VarInt140,0.00858256542903849,0.00018084407247797348
Density140,0.010966212211025516,0.00035855674207449186
VarDensity140,0.0029467765982289064,0.00021481923224587446
OrientationRef140,0.0034335650518223294,0.0002118548668020469
Dist,0.023968493470568186,0.0007427087657266479
