,mean,std
Coherency20,0.0159079572223252,0.0021447023624787728
Energy20,0.06426943897380161,0.07222206370091429
MeanInt20,0.010456979421023267,0.0026466145253004228
VarInt20,0.020354894698062728,0.004616671494794878
Density20,0.004676839060255797,0.0008689963917594416
VarDensity20,0.00500056297624139,0.002145780316247066
OrientationRef20,0.00976802024106748,0.00100856569116092
Coherency60,0.014630216901636683,0.0024494557957719593
Energy60,0.11847199308098294,0.13308592623194798
MeanInt60,0.015391735868124305,0.006460557525275441
VarInt60,0.02882778466774237,0.040073943024879786
Density60,0.011473936707647204,0.0063153282426354025
VarDensity60,0.007443711697396459,0.0038472454498329543
OrientationRef60,0.013074644432450544,0.0015038449672448116
Coherency100,0.016870108441011177,0.003849898422702854
Energy100,0.19957313450183317,0.21179695215101374
MeanInt100,0.028889366608161455,0.022862968301286587
VarInt100,0.054626022910605046,0.06763810422521678
Density100,0.01523291189458075,0.006128266357434679
VarDensity100,0.012642224165721463,0.01384777392087182
OrientationRef100,0.014498145180275661,0.0018761704361061164
Coherency140,0.018561061683945793,0.004303955501915405
Energy140,0.1877561391019585,0.19479127272894506
MeanInt140,0.03341303559432992,0.009948740082669336
VarInt140,0.02267610535784904,0.004196754237214448
Density140,0.02582885030679932,0.01709981715306678
VarDensity140,0.014410887485811801,0.006741203237660745
OrientationRef140,0.015273290818359122,0.001627768741359895
