,mean,std
Coherency20,0.0036266637926388955,0.00024125549105544328
Energy20,0.03245316232868102,0.00047163906186917817
MeanInt20,0.001233137540191498,0.00024123041330405303
VarInt20,0.018023746654452045,0.00040856297469836657
Density20,0.0007804781663702798,0.00019670767911353202
VarDensity20,0.001410968008478397,0.0002385538406510283
OrientationRef20,0.000513732463939942,0.00014045386504518034
Coherency60,0.0019013489967846908,0.00011578960079257854
Energy60,0.0409252573152988,0.0006613710293401062
MeanInt60,0.0009259758222413983,0.00022498024552962623
VarInt60,0.00907384455102298,0.0004519326208224895
Density60,0.0046747857951177415,0.0003059789991561617
VarDensity60,0.0017899804206857883,0.0001567519889836441
OrientationRef60,0.002291139013130705,0.000367169746096504
Coherency100,0.0032907617969858637,0.0002781373691990096
Energy100,0.05939537640782455,0.0008697514668599683
MeanInt100,0.0055199295863196385,0.000197475068201555
VarInt100,0.010645578487902152,0.0004046996732263258
Density100,0.004749330890409731,0.00021012489541614028
VarDensity100,0.0024474142731404137,0.0003449406304752873
OrientationRef100,0.0024626825456701027,0.00013149609504548184
Coherency140,0.004910096818810506,0.0002681812725602216
Energy140,0.021085484363492658,0.0007171702867539779
MeanInt140,0.012087083041439895,0.000249021228281904
VarInt140,0.00405866609186113,0.00041699815688291743
Density140,0.00721021716872341,0.00031694830829198016
VarDensity140,0.004711609275924622,0.00039346456385030423
OrientationRef140,0.0031443660074365496,0.00017454552747628264
