,mean,std
Angle20,0.006614332732266493,0.004896798444005535
Coherency20,0.01669904969833337,0.02503900768295499
Energy20,0.0842766480050811,0.12058190668875926
MeanInt20,0.007093766597440776,0.0036559931650593427
VarInt20,0.010667874179328553,0.002038677194192098
Density20,0.010353442162803917,0.020933525977276386
VarDensity20,0.002540834529907567,0.001646981276604047
OrientationRef20,0.00581815572272548,0.002997277788413486
Angle60,0.010168565276381596,0.007020908168109595
Coherency60,0.009266356594426537,0.002440336229280911
Energy60,0.09889841322942404,0.13472818069320996
MeanInt60,0.013525644482330307,0.01800628492486984
VarInt60,0.03604491017985463,0.06911927882776422
Density60,0.020116675980209872,0.016084209852699646
VarDensity60,0.0046973963804835565,0.007237015126193789
OrientationRef60,0.008151888638039544,0.0025300872257727315
Angle100,0.009039761993803517,0.0013746312442774655
Coherency100,0.0094068816533266,0.0013296176538315173
Energy100,0.16172998783668296,0.18171714362762764
MeanInt100,0.023017045915065478,0.03198780009458679
VarInt100,0.027087639200299433,0.05706523787090294
Density100,0.04572050348486601,0.032347077486313755
VarDensity100,0.0058295008177826745,0.002311544291553505
OrientationRef100,0.008436600272620663,0.002150855233886278
Angle140,0.010464630956081748,0.0019556959781013923
Coherency140,0.01277099120948195,0.0038323040871761247
Energy140,0.07015577915461807,0.08765846243615666
MeanInt140,0.025801038054768445,0.030438681984350045
VarInt140,0.0546483985366671,0.09114406309096768
Density140,0.07060837950621998,0.053543569084024044
VarDensity140,0.009560830498382435,0.009062531610698003
OrientationRef140,0.017500607492970978,0.02991893901773766
Dist,0.0932874690273246,0.042752338499342006
