,mean,std
Coherency20,0.011978990620386413,0.0019754274929935293
Energy20,0.047351286844057684,0.07624044931459303
MeanInt20,0.009165643552878416,0.008079670765711774
VarInt20,0.013614926534607255,0.0032028213203880817
Density20,0.008505558456235527,0.010363284765569308
VarDensity20,0.0032438359750292067,0.0016132084098830983
OrientationRef20,0.007946582067397368,0.0030717270205133833
Coherency60,0.010483984814772834,0.0013610110361439696
Energy60,0.10359514995761224,0.14650417779260988
MeanInt60,0.009846369127876483,0.00455055164009595
VarInt60,0.023716613621893583,0.053750580950439907
Density60,0.03140550828334039,0.02332698814171037
VarDensity60,0.005495093927607391,0.0032924700519847256
OrientationRef60,0.00891604115285888,0.0008134395934105479
Coherency100,0.01173483382353034,0.0026429761324998843
Energy100,0.20339506454360481,0.2209430574772332
MeanInt100,0.025309500448843683,0.033341690024505544
VarInt100,0.06822182384988923,0.10583812675011918
Density100,0.047378642817046165,0.032467784997689465
VarDensity100,0.008691174623300525,0.007032394370258697
OrientationRef100,0.012332167297337326,0.004919367639360257
Coherency140,0.014628423901249347,0.0032700139898929944
Energy140,0.1592715174160623,0.1992288620914216
MeanInt140,0.022764589735742174,0.013054336963930827
VarInt140,0.02102306070190522,0.010018819608422084
Density140,0.0848616729268236,0.04512972473483804
VarDensity140,0.010217660053352354,0.0037540931827260643
OrientationRef140,0.014904282924759472,0.007558155482114486
