,mean,std
Coherency20,-0.0007793106430826868,0.00020154950329921245
Energy20,0.004460926350387006,0.00026223688486757114
MeanInt20,-0.003808761838861796,0.00017476330248108942
VarInt20,0.008195303377589358,0.00018081170229091592
Density20,-0.003899580504259881,0.00023777229297411329
VarDensity20,0.002193054534446193,0.00014691822061548972
OrientationRef20,-0.0039402326687713925,0.00011303027509913421
Coherency60,-9.38459542447534e-05,0.0001273115099102653
Energy60,0.028461704796090413,0.0005812201515380183
MeanInt60,-0.007760671193184321,0.000278594167700197
VarInt60,-0.0009938156813562693,0.00010629964275040499
Density60,-0.009131168101025012,0.00030860412305940666
VarDensity60,-0.002767374475630369,0.00015547816869530587
OrientationRef60,-0.0030022055961597127,0.00017923044351680082
Coherency100,-0.000517666392769156,0.00013763212368914446
Energy100,0.025545993166976567,0.0005450698553346711
MeanInt100,-0.007996367253384129,0.00038558269346769736
VarInt100,-0.0005894563854171641,0.00025731082973270476
Density100,-0.0013025991437097706,0.0004225290047623109
VarDensity100,-0.0020992085802015613,0.0001947670527678318
OrientationRef100,0.0016926869350862405,0.00021785665266845248
Coherency140,-0.0015300782770402254,0.00017221641732350054
Energy140,0.0037845435280888682,0.0003693831674765155
MeanInt140,0.001518401591488938,0.00020484147285905965
VarInt140,0.0023872334904639914,0.00013763144423071462
Density140,0.02083985642001466,0.00040993851952415844
VarDensity140,-0.0013583877524543265,0.00030002592870949027
OrientationRef140,0.0021965142931279933,0.0002426494943955058
