,mean,std
Angle20,0.007843312562502211,0.0008930553337726761
Coherency20,0.012635634414037478,0.004298058164026026
Energy20,0.08151268920005174,0.09311230565565545
MeanInt20,0.007978231975833312,0.002046518705647336
VarInt20,0.013893900280038689,0.0031114295927719936
Density20,0.004008861779617507,0.0026128155464244765
VarDensity20,0.0037489777111738894,0.002140051255261424
OrientationRef20,0.007195353330305249,0.0009122581720897414
Angle60,0.011179606554419073,0.0018569558648126986
Coherency60,0.01352130282198871,0.004407635507425875
Energy60,0.14215596205756706,0.15659965094909364
MeanInt60,0.010046855276343029,0.002983018859190133
VarInt60,0.034203828776207264,0.049910891008083026
Density60,0.009266952809488537,0.005799312542851981
VarDensity60,0.010393745986823712,0.01802947701781477
OrientationRef60,0.010029514047662134,0.0016667407292911306
Angle100,0.012825300223943174,0.0013446137907065865
Coherency100,0.014544530063648925,0.0038979876138220335
Energy100,0.17564296487436437,0.1837028931454326
MeanInt100,0.017020134237870098,0.005182280187045535
VarInt100,0.031387553877452144,0.04503390528425545
Density100,0.01573392621077845,0.012518454393224071
VarDensity100,0.007952076183846362,0.004414942676085261
OrientationRef100,0.013236357013729855,0.0019159389040088008
Angle140,0.013956003534734251,0.0022631106846830312
Coherency140,0.020125176849556562,0.004473316451769124
Energy140,0.10178746603968196,0.1204328455194103
MeanInt140,0.04245716391518155,0.04333910607045578
VarInt140,0.04411928359877912,0.06072965003104266
Density140,0.026139342446637567,0.015313243171426953
VarDensity140,0.01685352883599924,0.018884257304711084
OrientationRef140,0.012609085801484655,0.0014708217549472523
Dist,0.053995376708252114,0.036770087280612436
