,mean,std
Angle20,0.0007310808140683966,0.00016006949527556607
Coherency20,0.0016516678342404778,0.00018574003790704512
Energy20,0.027234107524563966,0.00031473274791287705
MeanInt20,0.0010400387993749316,0.0001432966584051234
VarInt20,0.011852670151425371,0.00035548512200713937
Density20,0.0011927215246717692,0.00018414149872724206
VarDensity20,0.000924179554884974,0.0002511066764573122
OrientationRef20,0.0003466795997916772,0.00015691400392852634
Angle60,0.001428032548364544,0.00020932488558792468
Coherency60,0.001616640620790033,0.00016325293625050262
Energy60,0.03188464371036988,0.00046126750227388184
MeanInt60,0.00028381024231649565,0.00028656516947846703
VarInt60,0.004397262488548825,0.00037053212150663204
Density60,0.0014181530779041496,0.00018183381197314912
VarDensity60,0.0014522821576763768,0.00018003268242375187
OrientationRef60,0.0013921072012358592,0.0003210498148299468
Angle100,0.0023522121032494734,0.0003661357357467938
Coherency100,0.00257135672073433,8.06372006081463e-05
Energy100,0.03665552980905682,0.00045417599772053067
MeanInt100,0.0026396148802788066,0.00024800364167055193
VarInt100,0.0032341793752582726,0.00020701737752806392
Density100,0.0027913994718974378,0.00023930838849445252
VarDensity100,0.0020728925293240995,0.00019713164726076847
OrientationRef100,0.0031596342799662725,0.0002680835002107716
Angle140,0.0034147042445798136,0.0002649661794100149
Coherency140,0.005255878284923965,0.00018176060057464524
Energy140,0.010970702879416604,0.0005953108884008304
MeanInt140,0.018767401340015488,0.0004326954160867718
VarInt140,0.007527258357133903,0.00042019700292701993
Density140,0.007719458964272274,0.0005669528867210485
VarDensity140,0.003823355068168377,0.0002731876994692123
OrientationRef140,0.0023504158358930603,0.0002066117436763428
Dist,0.016093657379964488,0.0004157776945349165
