,mean,std
Coherency20,0.013530967197111958,0.0016141331990667974
Energy20,0.06118990862564857,0.0715427691418555
MeanInt20,0.009633380685848474,0.0024552202157632386
VarInt20,0.017200286796460795,0.0025574056803107847
Density20,0.005167237741248389,0.0032093117301810583
VarDensity20,0.004720056266628847,0.0024103318066868895
OrientationRef20,0.009608864711551998,0.0011114872704202044
Coherency60,0.01451163138215413,0.004431445554900386
Energy60,0.11672726179628251,0.13385604255847683
MeanInt60,0.019520497267607382,0.008914623969181272
VarInt60,0.02681312757483645,0.03851884618783013
Density60,0.009915629593912349,0.0063472104769418175
VarDensity60,0.0055228141811705656,0.0013535952755915986
OrientationRef60,0.013591730916673945,0.0030485621674290614
Coherency100,0.015952885354076338,0.004330494235203272
Energy100,0.22806644198284223,0.2141117976869739
MeanInt100,0.02680858370683474,0.0232823429917893
VarInt100,0.05373122213285469,0.0701448020650819
Density100,0.015408740289357677,0.008731232347616734
VarDensity100,0.015056884866709214,0.015945534585517264
OrientationRef100,0.01452064926235218,0.0029961047185189655
Coherency140,0.02169580092328167,0.005680748472093338
Energy140,0.17098899790303915,0.20337616543587986
MeanInt140,0.02936493346847514,0.009155465167942993
VarInt140,0.023573697936641824,0.007525592557473894
Density140,0.028514001768768622,0.021556756405929935
VarDensity140,0.013026294776545084,0.005242371584699701
OrientationRef140,0.015637470891085137,0.00212838419555669
