,mean,std
Coherency20,0.0007445528192416506,0.0003623488017854363
Energy20,0.028515744283379184,0.00042349645815705536
MeanInt20,0.0006152215695784613,0.0001438276331089517
VarInt20,0.012608898708483807,0.00022733429370811598
Density20,0.0006304898421081284,0.00013476794368271947
VarDensity20,0.000926873955919616,0.0001415408526384758
OrientationRef20,0.00039517881841537593,0.00012561034461063832
Coherency60,0.0017262129295324779,0.0002796010013897079
Energy60,0.04406782705537898,0.0006135797933199399
MeanInt60,-0.00024159795944025397,0.00024962461894974193
VarInt60,0.005255878284923965,0.0005200775657140882
Density60,0.002036967182195448,0.00018339529044710041
VarDensity60,0.00024069982576209182,0.00017082493115579202
OrientationRef60,0.001715435325393877,0.0002107841484680417
Coherency100,0.0011549999101866492,0.00024349860002989446
Energy100,0.04984552100734677,0.000775911090484444
MeanInt100,0.00409638770634625,0.00017942229388905794
VarInt100,0.0041161466472670275,0.0004695624623167558
Density100,0.002524653769467089,0.0002496569311432927
VarDensity100,-4.49066839104395e-06,0.0003090219446022645
OrientationRef100,0.0020243933107004118,0.0002314398303630988
Coherency140,0.0034093154425104853,0.00018616298580003944
Energy140,0.009750139210720177,0.0006143943370991027
MeanInt140,0.006816834617664547,0.00010473948545642574
VarInt140,0.004292180848197502,0.0004281083977378755
Density140,0.006432433403387805,0.00035331715915084676
VarDensity140,0.002155520827720037,0.00017111744789259276
OrientationRef140,0.002764455461550952,0.00020950977437911495
