,mean,std
Angle20,0.006273171578115065,0.0016486265304937226
Coherency20,0.01347043972101499,0.015977152862724997
Energy20,0.08032986849353078,0.11834200921315667
MeanInt20,0.0051842413480280465,0.0017474627681720988
VarInt20,0.008255291119834298,0.0017694975151771625
Density20,0.009127531298179673,0.013582861898263748
VarDensity20,0.002291409764319876,0.0010991730405655739
OrientationRef20,0.005775082442626419,0.0014873968922200153
Angle60,0.008458228020908842,0.006450113319859055
Coherency60,0.00869158933129435,0.002448445582951534
Energy60,0.09883760711890943,0.1330396946682829
MeanInt60,0.015214813957090024,0.024492081049261465
VarInt60,0.03970682174683125,0.07337601068094705
Density60,0.027063003427349533,0.025411805098590142
VarDensity60,0.0060981826474574554,0.011030450064987526
OrientationRef60,0.007046435019529427,0.0008403652963484531
Angle100,0.00921039970726239,0.002024707495877199
Coherency100,0.010650476648157247,0.0027900962385246915
Energy100,0.16955883092062318,0.17673515042873258
MeanInt100,0.024548614117643853,0.033850975558923316
VarInt100,0.024254326724115746,0.05517477219265921
Density100,0.04390565425603061,0.035054632013684514
VarDensity100,0.004866406876679319,0.002771627456621962
OrientationRef100,0.008422783785522135,0.0017536639560141144
Angle140,0.010709180504579165,0.001528915306359926
Coherency140,0.012384151487542308,0.0032168491518079463
Energy140,0.06382651242960728,0.07580173062918807
MeanInt140,0.023845680657313222,0.03317484640519026
VarInt140,0.05185703102231188,0.09295684489379491
Density140,0.08703067410805437,0.052414228301535117
VarDensity140,0.010561118585329893,0.011255477196847382
OrientationRef140,0.016558308340939645,0.0309369877469989
Dist,0.08598613279326844,0.036306761885333265
