,mean,std
Angle20,-0.001994983349911372,0.00012617525158176423
Coherency20,0.00042598278770054063,9.630104051060419e-05
Energy20,-0.00425377329931238,0.00034172889607378464
MeanInt20,-0.002191757124940563,0.0001927360421337608
VarInt20,0.004004238204385224,0.00011726952083018442
Density20,-0.009590883535873396,0.00022622802560708265
VarDensity20,0.001969467629632804,8.312425741803693e-05
OrientationRef20,-0.0061544782251438225,0.00017177765005354609
Angle60,-0.00787311335034383,0.00016874361162135616
Coherency60,-0.0039769926047658385,0.00014868662630344742
Energy60,0.013234009427842386,0.0004858099417794493
MeanInt60,0.00173204169009209,8.21521957421264e-05
VarInt60,-0.0014474765385114607,0.00019533135780075994
Density60,-0.01642563681183241,0.00020535214335489394
VarDensity60,-0.002590061843186442,0.00013255676651881433
OrientationRef60,-0.002185702547247359,9.071976129535116e-05
Angle100,-0.00595035246291572,0.0002306118785016161
Coherency100,-0.003291095446092651,0.00011024164227606364
Energy100,0.009569260044111915,0.00031443293299934186
MeanInt100,-0.00799723219305456,0.00024825275359949067
VarInt100,-0.004092029580936763,0.00020902032647002061
Density100,-0.016715824071271056,0.0003765806675490364
VarDensity100,-0.0012031310816071005,0.00016793867858095842
OrientationRef100,-0.0034649483198547102,7.788780531835015e-05
Angle140,-0.0023344721705661374,0.00019380053737241406
Coherency140,-0.003643125891969057,0.0002456733201444838
Energy140,-0.009000994680621034,0.00035548415413802124
MeanInt140,-0.004811226916922562,0.00014492902379166273
VarInt140,-0.0038074644293560776,0.00024479626399629247
Density140,0.04701379578774377,0.0003033584004618288
VarDensity140,-0.003014314751546099,0.0002421367672409623
OrientationRef140,-0.0039065000216235045,0.0001433694578229641
Dist,0.0033369372486268924,0.0005172859902599238
