,mean,std
Coherency20,0.010644830633919572,0.0030325438104549037
Energy20,0.04679289111283267,0.07763742840325331
MeanInt20,0.008681762836409389,0.0096716557255383
VarInt20,0.011089806845149998,0.0023889014646665415
Density20,0.0069084534048841585,0.01053644212425432
VarDensity20,0.0028545815136297825,0.0014270915464031021
OrientationRef20,0.007763926708960817,0.0029601978231650907
Coherency60,0.011652231456469183,0.003798515856500217
Energy60,0.10249278609047782,0.14302260460883717
MeanInt60,0.010353987972436047,0.0050289470055127315
VarInt60,0.023073223444655854,0.05427821008637247
Density60,0.04049823563393933,0.029460635045329663
VarDensity60,0.004870176731991507,0.0037984109011803056
OrientationRef60,0.008964334618542302,0.0015893748416846438
Coherency100,0.012007771322070508,0.00436786943386403
Energy100,0.21158956652589767,0.22166471948328503
MeanInt100,0.024804202057335932,0.035718239157664165
VarInt100,0.06672456495589175,0.10525691212060599
Density100,0.044519684738572395,0.0300494799560069
VarDensity100,0.00933960304163607,0.011301479492644376
OrientationRef100,0.011331794383527853,0.004476354863316392
Coherency140,0.01609261942977755,0.004647955467768548
Energy140,0.15949234464176015,0.20315512252763762
MeanInt140,0.021487817708780357,0.011889517143002773
VarInt140,0.01776422925912395,0.0076863984930602815
Density140,0.08458949387330376,0.035483562321914214
VarDensity140,0.009341109332980121,0.003911960291554294
OrientationRef140,0.014273969725043594,0.010199955405199116
