,mean,std
Coherency20,-0.001913246551053005,0.00029018822621016327
Energy20,0.004395190935432303,0.00024975685266682686
MeanInt20,-0.003802707261168492,0.00016558625622045464
VarInt20,0.004097651688794756,0.00017590680644499117
Density20,-0.0017891277083422973,0.00015594181037527642
VarDensity20,-0.0008113134108895248,0.00010462195271167324
OrientationRef20,-0.005509233230982092,0.0001396877567789658
Coherency60,-0.0020360679842580387,8.62514439290128e-05
Energy60,0.011024953509492775,0.00038782707538508076
MeanInt60,-0.00961856160532798,0.0001718429651656703
VarInt60,-0.00034684080785361,0.00017456788331848103
Density60,-0.019789387190243445,0.0002261072903818703
VarDensity60,-0.0038779570124983453,0.00017249041893892055
OrientationRef60,-0.0030238290879210706,0.000222969972374594
Coherency100,-0.0017238247632227366,0.00019093628935497306
Energy100,0.014172901440124596,0.0004124039242133023
MeanInt100,-0.00866366820914235,0.0002181041895821678
VarInt100,-0.006026899623751192,0.0002485418854667656
Density100,-0.024727327768888085,0.00037248710007861706
VarDensity100,-0.001118799463737352,0.00021346712819214677
OrientationRef100,-0.0036790208882930054,0.00018212115560196324
Coherency140,-0.0014159062405396882,0.00012770974094261067
Energy140,-0.0009081866539808359,0.00033676601289364834
MeanInt140,0.0073113350343814165,0.00016225631949055145
VarInt140,-0.0023362020499069548,0.00019527150475809218
Density140,0.01552480214505043,0.0005655865570991685
VarDensity140,-0.0039981836266919975,0.00018190742363056547
OrientationRef140,-0.001206158370453625,0.0002308226466107684
