,mean,std
Angle20,0.014688843962217289,0.001808810975566807
Coherency20,0.03473800917084082,0.01804495839389817
Energy20,0.06150238068597643,0.027194512840842514
MeanInt20,0.019900251521451678,0.004489823899314646
VarInt20,0.04214254061251625,0.0161606950042655
Density20,0.007570577988748572,0.0032443651644574046
VarDensity20,0.006838037536274024,0.005224567443937288
OrientationRef20,0.013521441392254398,0.0010150722033922363
Angle60,0.017410024882627755,0.0018730498644417466
Coherency60,0.021363646423726065,0.005983312486242602
Energy60,0.06721455696532293,0.03852894444400806
MeanInt60,0.02113856628884846,0.005568927004824725
VarInt60,0.03675493460723595,0.024917203415845277
Density60,0.015540213676525303,0.011742653392416019
VarDensity60,0.009378978820247786,0.0052982006079181415
OrientationRef60,0.016744611328554124,0.0018128567936479927
Angle100,0.020479212764323487,0.0030131225773088726
Coherency100,0.020611774992976065,0.005804701338905292
Energy100,0.08155369414484916,0.05659490830035987
MeanInt100,0.030090487324994353,0.008011702462400747
VarInt100,0.041763203329919535,0.03380060754097827
Density100,0.029139784621923136,0.01379701337025615
VarDensity100,0.014864702710897756,0.008260628888720636
OrientationRef100,0.01900723587085729,0.0016760826719903396
Angle140,0.02490834599554125,0.004053718045999076
Coherency140,0.02572093582595334,0.0022724765304887825
Energy140,0.06618890610709485,0.0363910209338754
MeanInt140,0.03498484012138318,0.011474940272263694
VarInt140,0.059746754597701145,0.03389128965215188
Density140,0.028384967572845997,0.011611281334471086
VarDensity140,0.01961346781364217,0.011355965918719672
OrientationRef140,0.02208146667008145,0.002842366242628425
Dist,0.05441260367164801,0.00560916869033547
