,mean,std
Angle20,0.00019758940920769908,0.0002961390669620075
Coherency20,-0.0020737906630022727,0.00030168335652508183
Energy20,0.005562141869195836,0.000547715025265865
MeanInt20,-0.0017091483896462868,0.00029105767545387984
VarInt20,0.003032099297659485,0.0003601101674861952
Density20,-0.002047744786333994,0.00017782139599813553
VarDensity20,-0.0004293078981875365,0.00013987837354408398
OrientationRef20,0.00018501553771266277,0.0002261514155751709
Angle60,0.0007670061611970702,0.000211555764429612
Coherency60,2.9638411381149865e-05,0.0003125982619853139
Energy60,-0.003875446821504891,0.000775087282876015
MeanInt60,-0.003041978768119835,0.0004111461359021143
VarInt60,-0.007069210181243357,0.0003937156217517686
Density60,-0.0040200463436977805,0.0003884716277192201
VarDensity60,-0.0009744750408650638,0.0002535299497554597
OrientationRef60,0.0006349805104991946,0.00018502643707216717
Angle100,0.0024851358876255337,0.00024877005908854525
Coherency100,0.0015519749959584162,0.0003072562437925988
Energy100,-0.005929478543586397,0.00042072170801341383
MeanInt100,-0.0009825582439690005,0.00029693337154625756
VarInt100,-0.006292324549585948,0.0004096159179004257
Density100,-0.003720967828851629,0.0004506277769642383
VarDensity100,-0.0005415746079646233,0.0003652887547119633
OrientationRef100,0.0012681647536419427,0.00030893187566611945
Angle140,0.005254980151245747,0.000449667289106386
Coherency140,0.0032018465628424254,0.00027613046540644095
Energy140,0.00688060210881789,0.0008975717197934377
MeanInt140,-0.0025444127103878,0.0002757445917550265
VarInt140,0.0010184835910977187,0.0002824255575805737
Density140,-0.0016202331555028482,0.00037728456787801087
VarDensity140,-0.002826426685347827,0.0003303386459772052
OrientationRef140,0.002321675558190095,0.0002463327073683341
Dist,0.021380072209947733,0.0005760986750101635
