,mean,std
Coherency20,0.034383277959392465,0.020003803949240173
Energy20,0.06658263495963655,0.010345567064487377
MeanInt20,0.024786988662386256,0.007760095587054879
VarInt20,0.0477495468303188,0.015731219255375944
Density20,0.01234554374264354,0.004906009092028348
VarDensity20,0.008750240620085413,0.004495139946568702
OrientationRef20,0.01688434950191284,0.0010434452756494816
Coherency60,0.022649772321440196,0.0034601634116990165
Energy60,0.058603865074558656,0.01800296206882735
MeanInt60,0.02286242326458854,0.007519394085505084
VarInt60,0.033426640599949375,0.00960418965802403
Density60,0.016769026652619704,0.008048361811896165
VarDensity60,0.010798070659030917,0.004384287726042448
OrientationRef60,0.020396999262394258,0.001874009330774572
Coherency100,0.022630303634467115,0.0018141223890337339
Energy100,0.09089687767988232,0.06341742427799112
MeanInt100,0.03691158320104489,0.009643447129813272
VarInt100,0.05845094778052732,0.041336501779992305
Density100,0.02484585993192573,0.01726295435684431
VarDensity100,0.014452745790627537,0.007129440726808247
OrientationRef100,0.021901349194636544,0.0015915668133505958
Coherency140,0.02771320109313929,0.0019934846090950732
Energy140,0.11638629856193351,0.06904744900606033
MeanInt140,0.04393198415235454,0.012660178364892504
VarInt140,0.05164205477850426,0.014174785345353956
Density140,0.03915006467671502,0.018667952603504644
VarDensity140,0.029103811631305303,0.010783140010810688
OrientationRef140,0.024993537781979172,0.0028923491999528297
