,mean,std
Coherency20,-0.0038089849293168276,0.00025710635479185686
Energy20,0.014184225180075838,0.0004559662904156445
MeanInt20,-0.0009376515600581614,0.0003450096093659473
VarInt20,0.0023324531623287294,0.0005109433475890677
Density20,-0.0015169477825079047,0.0002529948675449559
VarDensity20,-0.0008110147114296029,0.0002520237357648957
OrientationRef20,0.0005164268649746284,0.00017402716133606177
Coherency60,-0.001654362235275053,0.0004892281798371102
Energy60,-0.0018878769916113925,0.0005721301869376196
MeanInt60,-0.0038754468215048687,0.00038408736890238056
VarInt60,-0.007205726500332266,0.0005218774970247099
Density60,-0.003420093046649009,0.00024258921502728266
VarDensity60,-0.0009996227838550808,0.00029831155557828
OrientationRef60,0.00037362361013817404,0.0002738114855100977
Coherency100,0.00018501553771268497,0.00044433932693210463
Energy100,-0.012030500619712193,0.00041666530605748717
MeanInt100,-0.003288965529629373,0.0003033458962996795
VarInt100,-0.006290528282229491,0.000729936839812523
Density100,-0.005131037703651764,0.00040746079089708215
VarDensity100,-0.001159490578577682,0.0002519405046741744
OrientationRef100,0.0005245100680785541,0.00015468771993756123
Coherency140,0.0019381724775916042,0.0003711759506995681
Energy140,0.007492231143683481,0.0006350103628970754
MeanInt140,-0.002379156113595915,0.0005434183778359388
VarInt140,-0.0010382425320184074,0.0009023289418700461
Density140,-0.0054822079718344855,0.00048155713428326937
VarDensity140,-0.0016570566363097062,0.0005155044779871585
OrientationRef140,0.0018196188320670048,0.0003820437288381826
