,mean,std
Angle20,0.013091117351687378,0.002326334834218991
Coherency20,0.02204434278445495,0.006918686147731267
Energy20,0.06856740358726647,0.033915132808898504
MeanInt20,0.016437321706143652,0.004830190696140348
VarInt20,0.037160151086860556,0.014239962093971697
Density20,0.00827901534294064,0.00488336571247414
VarDensity20,0.006021624464426364,0.0029500855988133456
OrientationRef20,0.011500514806448658,0.0016051974618483086
Angle60,0.015018492489888964,0.001897122322879725
Coherency60,0.017778915705716655,0.002617933909026403
Energy60,0.06237703065055701,0.0532561413863606
MeanInt60,0.022915841030169526,0.017729370918313416
VarInt60,0.03925720307371541,0.04200256513024037
Density60,0.021463327818241947,0.009873375913716342
VarDensity60,0.008137359553470449,0.003803391161433374
OrientationRef60,0.016385317673989045,0.0023506522447854544
Angle100,0.01878378079920268,0.002777006403208302
Coherency100,0.02544373667529061,0.020547459576915058
Energy100,0.0802446728106006,0.06961549305363973
MeanInt100,0.030487582448299414,0.009576572518036706
VarInt100,0.03561343298317919,0.034848760395684436
Density100,0.04057107135749645,0.02203838529476055
VarDensity100,0.014485901742909464,0.009575520180162705
OrientationRef100,0.015904679687662036,0.0014977795391587971
Angle140,0.021019976756045455,0.0032060560605898783
Coherency140,0.02037495097543719,0.002180634470047911
Energy140,0.054278817562127886,0.020737892549361366
MeanInt140,0.03222034235195165,0.009679543913800678
VarInt140,0.06576619756345735,0.05159641010479328
Density140,0.05686520390409873,0.02762879683889998
VarDensity140,0.018773698977682732,0.008615938066405407
OrientationRef140,0.019439176278442875,0.002260509228106275
Dist,0.06329179800013802,0.006983771416613989
