,mean,std
Angle20,-0.008396401850970913,0.0002917825615877837
Coherency20,-0.009867664230419926,0.0004624356490606242
Energy20,-0.009180902132076296,0.0006326058118319096
MeanInt20,-0.009144142196081817,0.00028954945504592027
VarInt20,0.003402672663581707,0.00018225204527848085
Density20,-0.008296501319032989,0.0003064206720051151
VarDensity20,-0.0006655710764174261,0.00031527288282136187
OrientationRef20,-0.015273104700947105,0.0002678256045707362
Angle60,0.0024482117372313316,0.00023048207924990463
Coherency60,-0.00739393677291007,0.0002991994352243874
Energy60,-0.023984777061799946,0.0006431627647017867
MeanInt60,-0.010983436405310743,0.00029399711635537455
VarInt60,-0.01333131514076893,0.0003516870652430955
Density60,-0.04770185529559314,0.00036758129752542326
VarDensity60,0.006037278899796739,0.00021938628252076537
OrientationRef60,-0.015945162824892955,0.0002997424686026714
Angle100,0.00036457207109804603,0.00017005525607676693
Coherency100,0.012603468408078522,0.00036525681322584913
Energy100,-0.024857933659127272,0.00043554436250852
MeanInt100,-0.0005042598278770071,0.00025454955547168787
VarInt100,-0.004921939194741154,0.0003987711932071068
Density100,-0.06705877265060763,0.0004409920165792581
VarDensity100,-0.006367253384076466,0.00022907882675895583
OrientationRef100,-0.008033559659213773,0.00024478862363959896
Angle140,-0.01180383168274014,0.0005975982042672479
Coherency140,-0.009474116680361555,0.00025843501424674674
Energy140,-0.013089996972711172,0.00025782457363846385
MeanInt140,-0.05021320762876791,0.0004551456864648226
VarInt140,-0.0021874324265882426,0.000351897598378777
Density140,-0.052712018336721,0.0004765856828148531
VarDensity140,0.000630541019763875,0.0002586791486487359
OrientationRef140,-0.008440946243999482,0.0002778786121121516
Dist,0.009842580979976635,0.0003649053770919336
