,mean,std
Coherency20,0.03310658354505735,0.03301320863787021
Energy20,0.06423698100908497,0.008432867737890573
MeanInt20,0.018750638056825936,0.007296398874774425
VarInt20,0.03346060107821027,0.012619112649364569
Density20,0.011306049440644396,0.007931288350508265
VarDensity20,0.005746273145425237,0.0020161175228614802
OrientationRef20,0.015472965336446034,0.0019182045182979145
Coherency60,0.022126400243563556,0.00575483394483025
Energy60,0.05122749100120812,0.017808296429427023
MeanInt60,0.02426122398926765,0.017836791720671083
VarInt60,0.03549743311962386,0.021888448672673456
Density60,0.027028862381517752,0.016034310741493894
VarDensity60,0.007680678114014431,0.0014445443549470315
OrientationRef60,0.018400969831620578,0.0017028308175272575
Coherency100,0.022163471887518885,0.0020408492429113607
Energy100,0.08635191498691727,0.07548760919981488
MeanInt100,0.030716713893490906,0.009425326183928967
VarInt100,0.0757291600085874,0.062096133261269004
Density100,0.0368076888606743,0.015121008506402977
VarDensity100,0.01595108925417916,0.006173486234869679
OrientationRef100,0.01963519657929112,0.0014651414930466
Coherency140,0.024334350627420696,0.0032180102835032034
Energy140,0.1291566773916898,0.09279315083659807
MeanInt140,0.04443331589595256,0.01026048994033435
VarInt140,0.040412692314391346,0.010703106261759304
Density140,0.06241462369027122,0.02199758010612896
VarDensity140,0.019773552004642682,0.0073103340647461155
OrientationRef140,0.023816402312462653,0.0019245545588142537
