,mean,std
Coherency20,-0.007832028715997108,0.00033662714145043143
Energy20,-0.007206677334255984,0.0004569559039401404
MeanInt20,-0.003011719932534751,0.00034177267772182994
VarInt20,-3.41651169831314e-05,0.0003198373932132054
Density20,-0.03148553388401162,0.0006378987243349807
VarDensity20,-0.005181853565713823,0.00017818387010743898
OrientationRef20,-0.004208363966613371,0.00030556648857389245
Coherency60,-0.01883319638455223,0.0004162903506374627
Energy60,-0.0014050944946590205,0.00044184133191858257
MeanInt60,-0.055549885395493694,0.0006606825692593331
VarInt60,-0.002553301907192018,0.00030373548367721955
Density60,-0.050461012844354135,0.0005934187442928331
VarDensity60,-0.0038355749686459716,0.0001360933854179131
OrientationRef60,-0.028808113134108925,0.0004641312129694828
Coherency100,-0.001453531116204665,0.0002425338493548422
Energy100,-0.00028759244042732003,0.0002896724795484122
MeanInt100,-0.01030575617350693,0.0003023827108653605
VarInt100,-0.04908446135882026,0.0005856056776426228
Density100,-0.07237209704623107,0.0005835849935755347
VarDensity100,-0.012142023093889232,0.0003323507470406087
OrientationRef100,-0.0063529818795139414,0.0002323534495522473
Coherency140,-0.009078406781127058,0.00041393395678198335
Energy140,-0.0328110539289885,0.0005486010690246678
MeanInt140,-0.004408597500324396,0.0003062069677868079
VarInt140,0.005189638022747878,0.00026952275138838506
Density140,-0.07084634346754318,0.0005946383175637818
VarDensity140,-0.013602906197292796,0.00026985701878705435
OrientationRef140,-0.007212299442113934,0.00041822337470533177
