,mean,std
Angle20,0.01613859874337315,0.0009114386126645568
Coherency20,0.026049195312798663,0.012190369552312624
Energy20,0.05512862806670634,0.019791926202560216
MeanInt20,0.014252114601613148,0.001957101429789517
VarInt20,0.020859536396972495,0.0048801426390383245
Density20,0.010910435983018957,0.007683884317786508
VarDensity20,0.008714773385269355,0.006531609623262958
OrientationRef20,0.01567339082682107,0.0010213865973453132
Angle60,0.019423121144209993,0.001114693368902984
Coherency60,0.026508159962620462,0.009051917672539472
Energy60,0.07750448241996477,0.04053001733466511
MeanInt60,0.019255790127019883,0.008171006501706999
VarInt60,0.021783397040641805,0.007118328841279849
Density60,0.01598173584180267,0.00934531549201566
VarDensity60,0.011140503225683183,0.008414904783050748
OrientationRef60,0.02039765310953904,0.0014278352223230824
Angle100,0.021791001631904346,0.0012990647490114715
Coherency100,0.030096557871216335,0.0080689946844472
Energy100,0.07209000413015045,0.047554787031640205
MeanInt100,0.026762042357242704,0.009708990117448227
VarInt100,0.030369904575612644,0.015465453931438907
Density100,0.024418386067900016,0.016373970612461184
VarDensity100,0.017036956169193193,0.010391727120119232
OrientationRef100,0.022871627143677596,0.001627135038608174
Angle140,0.02481553523022837,0.0016698836502777373
Coherency140,0.038506700186367204,0.0107490189340793
Energy140,0.08983514848319456,0.051467864979960365
MeanInt140,0.03654989566802626,0.018279231868199488
VarInt140,0.03912820647824865,0.018535218119458338
Density140,0.033633275801204635,0.016143114934553976
VarDensity140,0.020434108398246307,0.008493769083519901
OrientationRef140,0.025855552914232412,0.0015622186554396609
Dist,0.06608358070529921,0.017544648458652924
