,mean,std
Angle20,0.002837646829458529,0.00011866580404393393
Coherency20,0.007070721840425032,0.000147611615082335
Energy20,0.039040308037237424,0.0003567190401711737
MeanInt20,0.0009348345274650561,0.0002334216821501118
VarInt20,0.01168933079884974,0.0003938490142433458
Density20,0.001192182092898586,0.00022199162003401775
VarDensity20,0.000726227031242399,0.00012116589067267728
OrientationRef20,0.0021089827947555983,0.00025889236461656425
Angle60,0.005566115903884594,0.00018153304045597318
Coherency60,0.007464541599649077,0.000252812535488911
Energy60,0.05750694545986258,0.0005640093741653342
MeanInt60,0.001785836135887342,0.0001965040985545229
VarInt60,0.0028527562509139126,0.0002455266170924744
Density60,0.0011975435005117884,0.0001885056439397088
VarDensity60,0.0004605936540430178,0.00020675500591616465
OrientationRef60,0.005276599892771872,0.00012006688441620272
Angle100,0.008085977482088048,0.00028322132460339446
Coherency100,0.01027001998342838,0.00018558961413054186
Energy100,0.02748891163425452,0.00045960334654273396
MeanInt100,0.00491446117853489,0.0001689537783808931
VarInt100,0.0074923234390993024,0.00030951901165404266
Density100,0.004741433932836214,0.00016351984506025733
VarDensity100,0.0021562606618901747,0.00013649308079323856
OrientationRef100,0.007439196763659428,0.00021102874018092915
Angle140,0.010395769361992524,0.00017862354299159663
Coherency140,0.0208670858312619,0.00028436019048354115
Energy140,0.05249354194082957,0.0003626827773837106
MeanInt140,0.010293902617341732,0.00020482430559487093
VarInt140,0.018581663985962872,0.0002619677837535087
Density140,0.011949115367743846,0.00034759017178476984
VarDensity140,0.0058736657406053714,0.00023696346978621105
OrientationRef140,0.01063800750597067,0.00019805747673383575
Dist,0.048976458546571164,0.0005544994255179111
