,mean,std
Coherency20,0.029918645079174997,0.021962860184069396
Energy20,0.06758563502243077,0.03155953798681428
MeanInt20,0.014349971438470523,0.009128211727589763
VarInt20,0.020278103751364157,0.004244994311538249
Density20,0.008567021750634864,0.009802230812439697
VarDensity20,0.009897220493521925,0.014518709369775286
OrientationRef20,0.01137742181197624,0.0011212451824590393
Coherency60,0.02562302260013062,0.013240696601547615
Energy60,0.09715025335410367,0.060159892396392974
MeanInt60,0.018787060818660165,0.015066441577570672
VarInt60,0.026439506716447403,0.0199508268293524
Density60,0.019304152374913053,0.018844738926793222
VarDensity60,0.008829371266849607,0.008280369919609924
OrientationRef60,0.016573452639529456,0.0019688440281325353
Coherency100,0.032039886271315494,0.016782460198285897
Energy100,0.10036254879598731,0.07849987698436413
MeanInt100,0.03244983961461572,0.018769573001612135
VarInt100,0.03294412596883765,0.023723836098149174
Density100,0.03559336168929062,0.0273989229384986
VarDensity100,0.013462463042762766,0.007394565685308537
OrientationRef100,0.021114068818189422,0.005742234816668469
Coherency140,0.042152343830051536,0.015504978985427865
Energy140,0.13895775529292348,0.0801871949706118
MeanInt140,0.03697990716894103,0.02006168969673612
VarInt140,0.045308450111335545,0.026827904318791267
Density140,0.04994341684585357,0.03357118950177833
VarDensity140,0.01909032740373894,0.011723135171194285
OrientationRef140,0.02492066602794933,0.005499561224303187
