,mean,std
Coherency20,0.0045757176975190885,0.00021513979179369407
Energy20,0.029857678997904126,0.0003885133866862986
MeanInt20,0.0022230345567090136,0.00010888688545852558
VarInt20,0.0195203977189647,0.0003247273962273209
Density20,0.0007247648291660247,0.00021456760239643358
VarDensity20,0.0004142905882925874,9.769922254028442e-05
OrientationRef20,0.0008163961592825064,0.00017321935341000448
Coherency60,0.003841204854510838,0.00022654906378235794
Energy60,0.04141199980503968,0.0003392200270647583
MeanInt60,0.002158210264658533,0.00019641461746111325
VarInt60,0.007208656236291822,0.0003178510285900147
Density60,0.0011468538285323792,0.00022483968790418883
VarDensity60,0.000662864941268182,0.00014109387167840617
OrientationRef60,0.0031183896281132273,0.00011525351772900335
Coherency100,0.005217624409026589,0.0002728246870564365
Energy100,0.020787152117755957,0.0003062370004825855
MeanInt100,0.007768679631525044,0.00020544329436144045
VarInt100,0.005505678218063026,0.00025687634926400553
Density100,0.00546278695715745,0.00018842686344517593
VarDensity100,0.0015860018521225761,0.00016920878613108008
OrientationRef100,0.005290247112150837,0.00012740098435365968
Coherency140,0.013558512453087635,0.00030579722959029427
Energy140,0.037337330019008574,0.00040489622579345703
MeanInt140,0.010885119656869868,0.00023606552002342033
VarInt140,0.01752692888823898,0.0002886054209182586
Density140,0.016713457133109087,0.0005582065880328458
VarDensity140,0.004466539942486669,0.00027661180914002165
OrientationRef140,0.00831798021153186,0.00024354627873510442
