,mean,std
Angle20,0.009933419253423163,0.0011651827662396187
Coherency20,0.022701977639297252,0.01904650670275546
Energy20,0.052824658381011094,0.021768864036012983
MeanInt20,0.009575510185884486,0.0025520091056278602
VarInt20,0.018317878459362395,0.00471095804559957
Density20,0.009127026276566964,0.013442962334163422
VarDensity20,0.00904288593515187,0.014831894169631162
OrientationRef20,0.00894395936100995,0.0009392183861449205
Angle60,0.012862036551279937,0.0012087264651686094
Coherency60,0.02315112117124771,0.011688135769187548
Energy60,0.10630429150554901,0.07342150313594854
MeanInt60,0.01880794035002794,0.01252583706307462
VarInt60,0.02273311919550578,0.015683542879843037
Density60,0.023134864674525697,0.021545400095214
VarDensity60,0.0064665314359917654,0.004275221937761972
OrientationRef60,0.014029267856540014,0.0021293933982601213
Angle100,0.015475242794329472,0.001225083191819068
Coherency100,0.024380739795576034,0.004657025882223676
Energy100,0.09467566438891728,0.0790489547159316
MeanInt100,0.02459122029651707,0.014640919025068477
VarInt100,0.026901224319583406,0.022661645973379715
Density100,0.03295248361939251,0.027006097918371986
VarDensity100,0.015005198461951322,0.012314539368971408
OrientationRef100,0.018276561166815978,0.0035644295559523103
Angle140,0.018645326534965236,0.0018671073575792561
Coherency140,0.03704262580427403,0.0074194077656814916
Energy140,0.10664752808066366,0.07547994768874972
MeanInt140,0.0327365503812683,0.02068316248101177
VarInt140,0.03326252866816065,0.0184474477199312
Density140,0.04087217597920036,0.03334449784735704
VarDensity140,0.017644199161831565,0.015878125254649825
OrientationRef140,0.021647057933314624,0.0024539027487676997
Dist,0.07128718438086343,0.020875569430011908
