,mean,std
Angle20,0.0015304736024845055,0.00014002087575210837
Coherency20,0.004640430900621139,0.00021899762933264824
Energy20,0.02547845496894413,0.0002738641814235829
MeanInt20,0.0015809394409938226,0.00017523852628924434
VarInt20,0.01809831133540375,0.00022512651832928889
Density20,0.0015105784161490998,0.0001454458864784698
VarDensity20,0.0011223796583851309,0.00014525148550079402
OrientationRef20,0.0007128299689441286,7.915501418855674e-05
Angle60,0.003055609472049714,0.00018113551733853526
Coherency60,0.005876358695652206,0.000310331462642072
Energy60,0.0623219138198758,0.0005817966995349215
MeanInt60,0.0035918090062111883,0.0002010920150326621
VarInt60,0.009542410714285753,0.0003198832699826639
Density60,0.0038732531055900798,0.00020126757892554155
VarDensity60,0.0008118206521739336,0.0001268913091671832
OrientationRef60,0.002940605590062151,0.00011054722195162152
Angle100,0.00471273291925467,0.0001629423534739486
Coherency100,0.0053061917701863635,0.0002861094141573391
Energy100,0.024013975155279522,0.0003565555929014934
MeanInt100,0.007309297360248457,0.0002992928871607467
VarInt100,0.008000291149068351,0.0002319776881370575
Density100,0.009096467391304364,0.000311861894809338
VarDensity100,0.0025145574534161884,0.000213374728189936
OrientationRef100,0.006752232142857162,0.00020972895961322667
Angle140,0.006377135093167718,0.0001944121121921608
Coherency140,0.01444584627329194,0.00028726544138781257
Energy140,0.03823757763975159,0.000436140915630597
MeanInt140,0.012203027950310575,0.000357360361546728
VarInt140,0.01391983695652178,0.00029875072476324825
Density140,0.012678571428571461,0.0002835844402225106
VarDensity140,0.004894701086956554,0.00025238564302259035
OrientationRef140,0.008550562888198776,0.00022972760294853647
Dist,0.036084530279503146,0.0005662042653049353
