,mean,std
Coherency20,0.03130972417800619,0.013454237715199772
Energy20,0.06041102250574776,0.017772826081277778
MeanInt20,0.018635636760911508,0.003869700399875089
VarInt20,0.026602008114372272,0.003991885206504282
Density20,0.01200079883097048,0.007289109177517624
VarDensity20,0.01060862577105183,0.005446054081330618
OrientationRef20,0.020167629346133635,0.0009300506163970068
Coherency60,0.02870628307332352,0.0065212510691405184
Energy60,0.08597524495025205,0.03642812366287589
MeanInt60,0.024211032978956354,0.009102561819117522
VarInt60,0.030636739249409777,0.014798820055677762
Density60,0.02047110244487372,0.01613965273506974
VarDensity60,0.014019880357903646,0.006973570168098923
OrientationRef60,0.024031337257150037,0.0014294040516249311
Coherency100,0.03544612326852259,0.010459484588091043
Energy100,0.08460814125301402,0.0531226170287241
MeanInt100,0.030562414824151916,0.009351625689479346
VarInt100,0.03691882372691251,0.018349552035513732
Density100,0.0292170472552135,0.017772489784004683
VarDensity100,0.01576294950323428,0.00693993140175575
OrientationRef100,0.027203608142165017,0.0018106333316593795
Coherency140,0.04366855437932273,0.010880125250368937
Energy140,0.10152490453325991,0.060353347373572196
MeanInt140,0.04034360718669297,0.01572848294263654
VarInt140,0.04484438299402919,0.018296698044202985
Density140,0.04732030984540482,0.024816110829458362
VarDensity140,0.024278486046900468,0.010056608786518432
OrientationRef140,0.030513581222113433,0.0021043945191389843
