,mean,std
Coherency20,0.006743982919254698,0.00026074417923538026
Energy20,0.039875776397515585,0.0003225657800745628
MeanInt20,0.0014242041925466187,0.00017916447755641696
VarInt20,0.016101999223602538,0.00030047068155072184
Density20,0.00030958850931679384,9.74322815812765e-05
VarDensity20,0.0003270574534161907,0.00014044065890665968
OrientationRef20,0.0015120341614907162,0.00017146787907884644
Coherency60,0.006141789596273328,0.0002002030655004751
Energy60,0.06960986024844723,0.0005326109591969644
MeanInt60,0.0019293478260869912,0.0002426843869506109
VarInt60,0.005617236024844763,0.00028687336625530916
Density60,0.001076766304347876,0.0002257886627212817
VarDensity60,0.0007996894409938226,0.00013779347173394633
OrientationRef60,0.0041304347826087275,0.00016781179450609164
Coherency100,0.00959481754658389,0.000259079503726383
Energy100,0.0300262034161491,0.000586286965552127
MeanInt100,0.004884996118012475,0.00019492315969100353
VarInt100,0.008421972049689497,0.00030283702079854813
Density100,0.0039013975155279936,0.0001919033378618366
VarDensity100,0.0016925465838509624,0.000128930064977596
OrientationRef100,0.005959336180124275,0.00022022422207453854
Coherency140,0.02125097049689443,0.0003130074411940188
Energy140,0.05629076086956526,0.00041961619231996767
MeanInt140,0.010878299689441017,0.0002147168177055053
VarInt140,0.01990537655279505,0.00016205336684411983
Density140,0.012009899068323037,0.00027943738713677273
VarDensity140,0.005898680124223632,0.0002713159415502099
OrientationRef140,0.008840256211180153,0.00021918839408834425
