,mean,std
Angle20,0.01669877962235914,0.0006925739044011455
Coherency20,0.02450892042058028,0.009539936939198855
Energy20,0.050209942824175645,0.015544799052311098
MeanInt20,0.017364375585115527,0.0071666888804005815
VarInt20,0.021672054528469164,0.0036593255647825737
Density20,0.0101956158367827,0.007445338035487412
VarDensity20,0.009870905390693303,0.007399270899178215
OrientationRef20,0.01671832534623556,0.0010147587480132704
Angle60,0.01965650548714994,0.0008690649094378842
Coherency60,0.024676549120604716,0.006503428400426638
Energy60,0.0771238510260557,0.04221667969545874
MeanInt60,0.018857371758000254,0.004142837674955186
VarInt60,0.023723167820958756,0.009456523645854779
Density60,0.01902082167923454,0.01382927424473931
VarDensity60,0.013172496452943166,0.009905782425061706
OrientationRef60,0.02040184236373873,0.001445955327954545
Angle100,0.021556408780637436,0.00138437044169679
Coherency100,0.0308458022116714,0.01156611303727007
Energy100,0.07201200730609211,0.04915853556851694
MeanInt100,0.027864388820590086,0.014828884830179235
VarInt100,0.03192180750484434,0.016254737373527207
Density100,0.027190989039861713,0.014088869935212653
VarDensity100,0.014450021736900135,0.007139017584058405
OrientationRef100,0.02337056566278211,0.0018380405643948364
Angle140,0.024110899685122374,0.0011997606050839398
Coherency140,0.04172645037876638,0.014397398715175244
Energy140,0.09703619080514328,0.061805246455072675
MeanInt140,0.03661036323255861,0.01576066192431491
VarInt140,0.03488279385757829,0.015082195058412767
Density140,0.028061539425265358,0.01134223884889429
VarDensity140,0.018637914049688255,0.006133996588072636
OrientationRef140,0.025819952930088774,0.001624947137673852
Dist,0.06003037930931219,0.011530936750867695
