,mean,std
Angle20,0.0025898265758788285,0.00023230854619751097
Coherency20,0.0069046661701019805,0.0003453282753580115
Energy20,0.03161183581725543,0.0004169685706452558
MeanInt20,0.00145475878161484,0.00030013061752472863
VarInt20,0.012846963594776861,0.0003227714641300109
Density20,0.001082335260267997,0.00022738134748373636
VarDensity20,0.0010783803202183307,0.00018020914337006652
OrientationRef20,0.0019603319513015415,0.00019816841373010763
Angle60,0.005713570058467199,0.0003000401250424806
Coherency60,0.007658082249569898,0.00024036724557001767
Energy60,0.05163371981886378,0.0005416651811149495
MeanInt60,0.0031408815561370872,0.0002738040348609445
VarInt60,0.004473037196211204,0.00018676829556106382
Density60,0.003225912767205663,0.00018083492158785702
VarDensity60,0.0011429776743634434,0.00021810417665194356
OrientationRef60,0.0055527358297793985,0.00023693358944953862
Angle100,0.007823530574982362,0.00025401832104042255
Coherency100,0.00926576537977315,0.0003491670562890201
Energy100,0.02572952165000101,0.0004275300559729888
MeanInt100,0.008930254632223545,0.00034885271533826467
VarInt100,0.01065329018054303,0.00034296169471426303
Density100,0.007178875346881219,0.00028538439259353474
VarDensity100,0.0017223763916445422,0.00030877884698276285
OrientationRef100,0.008700208952665978,0.00035807984887260824
Angle140,0.009868893737352447,0.0002446847821169197
Coherency140,0.02163220375851137,0.0006327615691903843
Energy140,0.055361250815706385,0.0005537528109809121
MeanInt140,0.015043932792385428,0.000408603242451238
VarInt140,0.017420851762255395,0.000396793156326032
Density140,0.013160722172053062,0.00038379903296259776
VarDensity140,0.005971959475047628,0.00038755946176138525
OrientationRef140,0.011017803821790429,0.0003690835953767094
Dist,0.048409125365008035,0.0006640129201273423
