,mean,std
Coherency20,0.031099779052191395,0.020108866239993403
Energy20,0.06982760551148236,0.02859919628340814
MeanInt20,0.015487500012837252,0.007875122015177503
VarInt20,0.02271926584597565,0.00481936655913861
Density20,0.013437204802348507,0.01667756947040716
VarDensity20,0.009540020230897053,0.012431928801505546
OrientationRef20,0.012531978399642202,0.0012344707468320926
Coherency60,0.021839510583625092,0.006277384255327421
Energy60,0.11020379927129709,0.07472221475880617
MeanInt60,0.018809219802174884,0.014375709938055915
VarInt60,0.029864304744184746,0.02206508128299355
Density60,0.01921374809922061,0.01836556195169766
VarDensity60,0.010689448856819777,0.00959920668787458
OrientationRef60,0.01700778333550871,0.001682861949441209
Coherency100,0.0384705309208892,0.019256978914335428
Energy100,0.11719442731632734,0.09139210201529564
MeanInt100,0.028951669706308053,0.012694533034958337
VarInt100,0.026560957460709994,0.005030145393660318
Density100,0.028471067090612902,0.022109717132729606
VarDensity100,0.015141358423927234,0.010854958790883346
OrientationRef100,0.021321752278724404,0.0020192253666885193
Coherency140,0.04283984934632851,0.013924389764439151
Energy140,0.10691139109287826,0.08051254731581227
MeanInt140,0.040983487482296195,0.028044353358482578
VarInt140,0.04327835300782764,0.028207277042863948
Density140,0.041552167334440254,0.021099803828182554
VarDensity140,0.022326680382301407,0.011522468908759353
OrientationRef140,0.023725139608223124,0.002256698762827382
