,mean,std
Coherency20,0.005879677540554617,0.0003787484657485091
Energy20,0.03200601150887554,0.0004912570480335767
MeanInt20,0.0018851880903572149,0.00016667672952477508
VarInt20,0.013946436928593575,0.00039361975616312387
Density20,0.0008377881338615279,0.00023776193349014569
VarDensity20,0.0008358106638367113,0.00015157164055394596
OrientationRef20,0.001099473333816714,0.00024011404839518587
Coherency60,0.0034539809767383687,0.0002597110758817508
Energy60,0.05744089012517386,0.0006325297814070526
MeanInt60,0.0022674989618282513,0.00017595903167235032
VarInt60,0.007283022101523329,0.0002968906349604802
Density60,0.002427014877166178,0.00035796273839165866
VarDensity60,0.0012807414194279775,0.00012218602926664327
OrientationRef60,0.0030565095017434873,0.00020461586478101075
Coherency100,0.007501202960931796,0.00033645412616888873
Energy100,0.027775543969046013,0.0005100169132484065
MeanInt100,0.008920367282099283,0.0003574556266110317
VarInt100,0.007265224871299658,0.00032569010685470185
Density100,0.006068855506265292,0.0003929264951637041
VarDensity100,0.00234132450942266,0.00019783047804494707
OrientationRef100,0.005766961749138167,0.00023876489124517882
Coherency140,0.015028772188861594,0.0002720808409659159
Energy140,0.04164420040999546,0.0007333887478320081
MeanInt140,0.012069158718335771,0.00035200447662122036
VarInt140,0.013458001832455569,0.0001703904067614487
Density140,0.014603616133518793,0.0005993343780678302
VarDensity140,0.005962072124923379,0.0002970193915069095
OrientationRef140,0.006599476629600087,0.00025662790310984856
