,mean,std
Angle20,0.01551937593192364,0.0008876191831385811
Coherency20,0.022485823684170052,0.008413357942049319
Energy20,0.05793627615291742,0.02736484956867137
MeanInt20,0.015657711014668597,0.006851929448870972
VarInt20,0.02067082575288232,0.0031598206731735653
Density20,0.012017964075196718,0.009864788379420921
VarDensity20,0.008955812178392464,0.007629167698108096
OrientationRef20,0.015182424398581461,0.0012175387678057205
Angle60,0.01877456002694533,0.0011129619887569686
Coherency60,0.027148947985663703,0.011391847652736884
Energy60,0.0720167982568972,0.0397040052595584
MeanInt60,0.019808413551484338,0.01097871116412611
VarInt60,0.02101706360604804,0.007574889485623245
Density60,0.014931201308627498,0.01121665292704488
VarDensity60,0.01161583016393494,0.006876880958186553
OrientationRef60,0.019206645841824365,0.0013725131115813456
Angle100,0.021754561122952563,0.0013217767778227435
Coherency100,0.03132947718815172,0.010848030752318362
Energy100,0.07940827815901955,0.054679502869073665
MeanInt100,0.02910493700442238,0.016688298487473625
VarInt100,0.030070143312187,0.015247333927560131
Density100,0.02233900937929056,0.018532706713559513
VarDensity100,0.014883896159987952,0.010169803845649656
OrientationRef100,0.02255153974367227,0.0018769460233330215
Angle140,0.024619433901100066,0.0015036466367614918
Coherency140,0.04218140949879098,0.012299505565383912
Energy140,0.0887628292885439,0.05912544396352338
MeanInt140,0.03325184063309324,0.014992496908468041
VarInt140,0.035183710343175696,0.013960290735388414
Density140,0.031147130374361176,0.017788196424208643
VarDensity140,0.021575581107056367,0.012178987549513702
OrientationRef140,0.02562197674395014,0.001997180848601394
Dist,0.07326857211008639,0.020240766118836396
