,mean,std
Coherency20,0.027773664169780853,0.009342062453500123
Energy20,0.06027556960689572,0.018580010230166796
MeanInt20,0.01820357728590209,0.003688694955822609
VarInt20,0.025791355318509672,0.003593815202372786
Density20,0.011879477902967188,0.009203512107807121
VarDensity20,0.010700121213018608,0.006353604356339545
OrientationRef20,0.019365137527990125,0.0011244056122293672
Coherency60,0.029587132718988596,0.009583887200682269
Energy60,0.08838209114711654,0.04326692750867645
MeanInt60,0.02454203550824201,0.011924923706997274
VarInt60,0.02905203986944748,0.01367591284597377
Density60,0.018223282026607186,0.014840777310159127
VarDensity60,0.014059976136351536,0.008225369299283124
OrientationRef60,0.023933127610584873,0.0016329420860043
Coherency100,0.03866091056269911,0.013537362829584395
Energy100,0.08538299964124405,0.052405827735378316
MeanInt100,0.03315870778769256,0.016741928330529433
VarInt100,0.032289359266308694,0.01139744555447745
Density100,0.03383777938189599,0.021167347492848345
VarDensity100,0.015221754742463222,0.00572169539352168
OrientationRef100,0.026752263240629636,0.0018619141131041253
Coherency140,0.05027451303541266,0.017385079917782945
Energy140,0.09934449505996576,0.06471605893082272
MeanInt140,0.03904327734242278,0.018999672032558763
VarInt140,0.04685521552747441,0.022103383396630243
Density140,0.041906635197939475,0.024673474481443292
VarDensity140,0.02532353660678388,0.013517683242580878
OrientationRef140,0.030179964564665335,0.0018239791919252035
