,mean,std
Coherency20,0.004867041925465898,0.00028050550281739353
Energy20,0.041059782608695694,0.0002379024232070123
MeanInt20,0.0006060753105590732,0.0003021773423042191
VarInt20,0.01305657996894416,0.00030717453219946203
Density20,-7.424301242230369e-05,8.177696156421662e-05
VarDensity20,0.00031686723602489806,0.00016358055512426007
OrientationRef20,0.001177697981366499,0.00021672794978994168
Coherency60,0.005167895962732971,0.0002497215051663448
Energy60,0.05278678183229818,0.0006688091525131457
MeanInt60,0.0012325310559006763,0.00021522286690980248
VarInt60,0.0030017468944099957,0.00033378744837339407
Density60,-2.717391304343231e-05,0.00014484808390376183
VarDensity60,-0.00024941770186330813,9.47216901207684e-05
OrientationRef60,0.0032142857142857806,0.00014322969182635318
Coherency100,0.007698951863354087,0.0001824456726584561
Energy100,0.027157414596273334,0.0005635286969577016
MeanInt100,0.002727581521739175,0.0002744932560886211
VarInt100,0.005789013975155332,0.00021823236329296188
Density100,0.002641207298136705,0.00022057250929462493
VarDensity100,0.000500291149068377,0.00018855445965591217
OrientationRef100,0.0048301630434782975,0.00024542444634736635
Coherency140,0.022565508540372724,0.000403387416499494
Energy140,0.05275087344720504,0.00032681005592684873
MeanInt140,0.006249514751552854,0.00023611662901666945
VarInt140,0.024746215062111866,0.00029169082941667233
Density140,0.008163334627329256,0.0002941346181314411
VarDensity140,0.00430269798136651,0.00026535637302918806
OrientationRef140,0.007435461956521783,0.0003955298759261074
