,mean,std
Angle20,0.0024024650621118472,0.00018538078470092394
Coherency20,0.0041119953416149605,0.0002899512757778949
Energy20,0.0388921777950311,0.00028662907382821323
MeanInt20,0.0003488936335404258,0.00024002342455844319
VarInt20,0.010086374223602534,0.00026764608211767834
Density20,0.000799204192546632,0.00013020672587514442
VarDensity20,0.0007982336956522285,7.059489404321154e-05
OrientationRef20,0.0018138586956522262,0.00019431519446029357
Angle60,0.004651591614906869,0.00018357789553621428
Coherency60,0.005851125776397547,0.0002297209404859661
Energy60,0.03903823757763979,0.0003939488255977273
MeanInt60,0.0008001746894410466,0.00016946846115158996
VarInt60,0.0019157608695652528,0.0001929044155776416
Density60,0.0003634510869565566,0.0001613106268318452
VarDensity60,0.0006681871118012994,0.00015474861327947255
OrientationRef60,0.0034787461180124657,0.00017286631146447827
Angle100,0.006894409937888235,0.0001070366124142952
Coherency100,0.008219138198757803,0.00017220236109681062
Energy100,0.03083317158385097,0.0004581446944802765
MeanInt100,0.003927115683229843,0.00014491065625711134
VarInt100,0.007054541925465885,0.0002517013210783699
Density100,0.0029677795031056386,0.00023415135752393387
VarDensity100,0.0006434394409938204,0.00019608120615877386
OrientationRef100,0.005810364906832344,0.00017328465963110777
Angle140,0.008945555124223625,0.0002854420113780126
Coherency140,0.023003202639751606,0.0002376454419612498
Energy140,0.05103697593167704,0.0005012785565623764
MeanInt140,0.006622670807453468,0.00022405450491240196
VarInt140,0.020648777173913103,0.00045763868267789914
Density140,0.007663043478260923,0.0003259829581275805
VarDensity140,0.003453513198757807,0.00016227987895865497
OrientationRef140,0.008793672360248495,0.00015651500423774059
Dist,0.04213946040372676,0.00026424841209906084
