,mean,std
Angle20,0.02317867443938842,0.0011084633561828465
Coherency20,0.032235694933149005,0.006348869608461212
Energy20,0.05486098974790338,0.005565718133783604
MeanInt20,0.019108729790046484,0.0009518053351485528
VarInt20,0.02393317062592316,0.002244684433031171
Density20,0.010424951411448237,0.0017779788128658481
VarDensity20,0.010507610408555983,0.0024907999166294595
OrientationRef20,0.022267526276609072,0.0009792042804548124
Angle60,0.027176998842669713,0.0016891813546178898
Coherency60,0.02973934686075445,0.003664462405068201
Energy60,0.05560030276153256,0.0064046669038108454
MeanInt60,0.02195865056801016,0.002283241392716843
VarInt60,0.026646337869286458,0.004453628129438286
Density60,0.014223412657463252,0.0033104172016476655
VarDensity60,0.015811771051526494,0.005805006176979309
OrientationRef60,0.026753772840694377,0.0013737543181231218
Angle100,0.028883179148937944,0.0013711783944983997
Coherency100,0.03250212354492692,0.0029589656123521187
Energy100,0.05083614233581427,0.010953429332896449
MeanInt100,0.026457545792182936,0.003225317170093356
VarInt100,0.03577393732451984,0.009571983413811396
Density100,0.019323948269925353,0.005281255378371725
VarDensity100,0.018082652640547606,0.006347701703590286
OrientationRef100,0.029156247551499336,0.0021177618512748073
Angle140,0.03337454927600296,0.0015205702306853276
Coherency140,0.038512456734846275,0.002838767391867415
Energy140,0.0581548318461166,0.008282608861802767
MeanInt140,0.031223213069189314,0.002269739077592037
VarInt140,0.04477816842103162,0.009600680671649596
Density140,0.02519849421535415,0.006752358014625517
VarDensity140,0.022697264386495018,0.00764642370870699
OrientationRef140,0.0338659518970924,0.002572438571577885
Dist,0.05675135246055626,0.0032574136033334815
