,mean,std
Angle20,0.0030345567090705795,0.00018152257112059864
Coherency20,0.011688355997465571,0.0002307362289370268
Energy20,0.027757469415606605,0.0003688628344140029
MeanInt20,0.0019690987961203388,0.00012978044505232295
VarInt20,0.006841643515133833,0.00025259443881974045
Density20,0.0010289028610421136,0.0001379688368456245
VarDensity20,0.0007866647170639562,0.00011420579320257416
OrientationRef20,0.0023224642978993404,0.00018835687874493845
Angle60,0.006658868255592976,0.0002448944765375885
Coherency60,0.01224740459131456,0.00029614395461178346
Energy60,0.041049373690110705,0.0002538365771626472
MeanInt60,0.0051445143052103685,0.00020390890135748942
VarInt60,0.008242920504947149,0.00016793482618588718
Density60,0.002705561241897014,0.00012408057624552755
VarDensity60,0.0035053857776478512,0.00022140870511435656
OrientationRef60,0.006346931812643231,0.00023017288042249392
Angle100,0.008497343666228063,0.0001734653516781446
Coherency100,0.013698396451723016,0.0002519559880797454
Energy100,0.03876833845104064,0.00023904954392347738
MeanInt100,0.009931763903104796,0.00020979811632799815
VarInt100,0.021624993907491386,0.00038642484289455234
Density100,0.006862601744894503,0.0002014563322875047
VarDensity100,0.0043261685431593925,0.0001979014872030048
OrientationRef100,0.009218209289857249,0.000200961044615736
Angle140,0.015334600575132851,0.0003205362775978941
Coherency140,0.014831603060876386,0.0001644498891536271
Energy140,0.044989033484427586,0.000353129790139316
MeanInt140,0.015183018959886973,0.00025468679996565503
VarInt140,0.03381147341229228,0.00042054207253029247
Density140,0.011243359165570066,0.0002820513308672682
VarDensity140,0.0079573036993713,0.00021169355680692773
OrientationRef140,0.015368231222888395,0.0002365119077803668
Dist,0.0299600331432471,0.00043812117187702143
