,mean,std
Coherency20,0.03933877513265782,0.00700148903860115
Energy20,0.06753404036725817,0.005323997823431303
MeanInt20,0.025545988338514035,0.0019666815303948466
VarInt20,0.030993325209330132,0.001732544790070698
Density20,0.013092491543883474,0.0012013337807393663
VarDensity20,0.013463312866760677,0.0029127642963029227
OrientationRef20,0.028842517471213087,0.0008389297621180741
Coherency60,0.034841173649415164,0.0032083883944369167
Energy60,0.06596180320893252,0.006968093383406061
MeanInt60,0.027362398237280657,0.0026845555476154885
VarInt60,0.03449646986176559,0.005995880226790133
Density60,0.01812155308790625,0.0034909677699108037
VarDensity60,0.016815719784833916,0.004506648348032481
OrientationRef60,0.03276622224764812,0.0019115235578348099
Coherency100,0.0380052045679705,0.0021770684851368134
Energy100,0.0547580917516699,0.009270397378963334
MeanInt100,0.03223344597830418,0.0033799915230010155
VarInt100,0.04283847203704113,0.00917606940705129
Density100,0.02381304844746139,0.006407051538926012
VarDensity100,0.020548359284379442,0.006989535348182689
OrientationRef100,0.03483024970630248,0.0021931250354365315
Coherency140,0.0428848175223151,0.0024312490741846098
Energy140,0.07010140096956118,0.00950810148609153
MeanInt140,0.0391122153031978,0.0025106049647420905
VarInt140,0.053332183653032196,0.007709721704392898
Density140,0.031073608484113346,0.009724841021803921
VarDensity140,0.027313452193045283,0.008585806864002392
OrientationRef140,0.03997965909420647,0.0021920639791319393
