,mean,std
Angle20,0.023381312405518606,0.0012251136866732058
Coherency20,0.03358950555742385,0.007874019951712798
Energy20,0.05439674612939173,0.004220718177742193
MeanInt20,0.019917810031193472,0.0016703897692154277
VarInt20,0.024631493100706173,0.0021239636215043406
Density20,0.010936060681994816,0.0031838841281474754
VarDensity20,0.010907343921370077,0.0028299922403611576
OrientationRef20,0.022815888475684255,0.001036043773108896
Angle60,0.026894546614595487,0.001213900889395993
Coherency60,0.029796279675146538,0.0033513837591133615
Energy60,0.055355069362730006,0.007673865421522415
MeanInt60,0.02214466585037613,0.0018238032670022577
VarInt60,0.02695195197171709,0.003913919854493157
Density60,0.015150476879818825,0.005250058917237431
VarDensity60,0.013277193038225204,0.004210500598102782
OrientationRef60,0.027029528317120577,0.0025207471207681887
Angle100,0.029202501500225648,0.0014548076997982827
Coherency100,0.032496852594571614,0.0023058971427387044
Energy100,0.04763246838869153,0.008653642611532092
MeanInt100,0.025728606307163376,0.002238931732487407
VarInt100,0.0321677364322243,0.005162924683781871
Density100,0.021064388238248324,0.006901220070763127
VarDensity100,0.01727729971903621,0.006280109554454377
OrientationRef100,0.02938057315535069,0.0019109218840981737
Angle140,0.03336341266593236,0.0015096173440398181
Coherency140,0.03743120309704569,0.0030394148262973004
Energy140,0.059797638604737205,0.010622642870741765
MeanInt140,0.031475580837293606,0.002533763108396979
VarInt140,0.04651745163026225,0.01012236723605418
Density140,0.028662537397665683,0.008576055088640245
VarDensity140,0.02021108236244025,0.005560320607789039
OrientationRef140,0.033447669665937665,0.0026675395628494355
Dist,0.056967125390160765,0.00338121998159158
