,mean,std
Angle20,0.002951766304347847,0.00020884915032057407
Coherency20,0.010438664596273295,0.00028786973045748384
Energy20,0.026150038819875786,0.00034511366272651286
MeanInt20,0.0016755628881987672,0.00022659647731512405
VarInt20,0.006281541149068337,0.0001426044385162757
Density20,0.0013092003105590222,0.0002331597328722114
VarDensity20,0.0013562694099378935,0.0001513516277109629
OrientationRef20,0.002348602484472051,0.00018161521152291376
Angle60,0.00623835403726708,0.00022351156614871487
Coherency60,0.013043963509316803,0.00035980738807943455
Energy60,0.039855395962732944,0.00028385333667281466
MeanInt60,0.004999029503105601,0.0002748648699056821
VarInt60,0.009265819099378902,0.0003054001996065048
Density60,0.0029473990683229977,0.0001928726764330571
VarDensity60,0.0014280861801242329,0.00021029852594075366
OrientationRef60,0.0060592973602484725,0.00026042113734380066
Angle100,0.008427795031055918,0.00026631078471750833
Coherency100,0.013417119565217395,0.0002762423560413144
Energy100,0.03587441770186337,0.0002546606781776455
MeanInt100,0.008182259316770201,0.00026637266996564537
VarInt100,0.016686723602484476,0.00017380838028798024
Density100,0.00678425854037269,0.00019297336918241466
VarDensity100,0.004782123447204978,0.00024550166781482196
OrientationRef100,0.008915469720496916,0.00019190395136259647
Angle140,0.015062597049689463,0.00034891657916580966
Coherency140,0.01384122670807455,0.00024589411460894416
Energy140,0.04495487189440994,0.00018561688691760294
MeanInt140,0.013944584627329204,0.0002019245840381993
VarInt140,0.030299883540372663,0.0003773897938133404
Density140,0.011153920807453432,0.0003276214104879289
VarDensity140,0.006726999223602504,0.0002303785675341792
OrientationRef140,0.013226416925465879,0.000387348946093957
Dist,0.028867915372670815,0.00036327223310794033
