,mean,std
Coherency20,0.039303582357663146,0.014862690266182867
Energy20,0.09010642700773631,0.011516594746212874
MeanInt20,0.016009994348192003,0.002666924020901696
VarInt20,0.022615776913812516,0.00402209371077703
Density20,0.007306064791812658,0.0047578749925031956
VarDensity20,0.005956505021237888,0.0031222961965577402
OrientationRef20,0.016730421825685605,0.002178062870893387
Coherency60,0.0295394569668455,0.007540102086853201
Energy60,0.09020040695690319,0.01631669502602403
MeanInt60,0.020303026036633025,0.002182332242679074
VarInt60,0.03322166904144283,0.014622067214652043
Density60,0.014504074229363478,0.011056169173478108
VarDensity60,0.007446883422736067,0.0008475614685889182
OrientationRef60,0.023800319298987467,0.003429046273074853
Coherency100,0.03535469412744419,0.0052249026359340875
Energy100,0.06498478549236537,0.01486354087468609
MeanInt100,0.030392453814066987,0.004698024216510015
VarInt100,0.05163971054325354,0.022234624343490682
Density100,0.02232369053299347,0.011814740469723136
VarDensity100,0.02109087193655277,0.014114788400334853
OrientationRef100,0.02826180431294409,0.004414036473608565
Coherency140,0.03937135367159066,0.0052593557428072596
Energy140,0.09456864555416733,0.01805264112521263
MeanInt140,0.038299740737494765,0.00580389810361556
VarInt140,0.062293057688547405,0.02029912536017789
Density140,0.03494798410411347,0.014268279459190736
VarDensity140,0.024563892405474873,0.014524993445401523
OrientationRef140,0.03486270685993942,0.0041446254163427015
