,mean,std
Coherency20,-0.001974961180124202,0.00037467967959034797
Energy20,0.009136257763975175,0.00061874333757815
MeanInt20,-0.0009704968944099334,0.0002991980698226983
VarInt20,-0.005261548913043456,0.0003562467263954101
Density20,-0.0007278726708074168,0.00018317727181848298
VarDensity20,-0.0008326863354037207,0.0002732702814251922
OrientationRef20,0.0012713509316770288,0.00023536300520774617
Coherency60,-0.0015086374223602151,0.00040026644047035147
Energy60,0.004705939440993812,0.0005946335132333185
MeanInt60,-0.002705260093167694,0.00016051751656661226
VarInt60,-0.01025669642857141,0.0004705711671929128
Density60,-0.004045031055900617,0.0003054383621276385
VarDensity60,-0.0005866653726708026,0.0001738442773267987
OrientationRef60,0.000279988354037275,0.00022803631106900124
Coherency100,-0.0002110830745341463,0.0003161590072990735
Energy100,-0.01047311723602482,0.0003568147021675599
MeanInt100,-0.004756890527950275,0.0004149089883973941
VarInt100,-0.013099281832298127,0.0006156357204442825
Density100,-0.008281735248447197,0.00024639012540864357
VarDensity100,-0.006628493788819867,0.00019358919751820818
OrientationRef100,0.00024456521739133483,0.00019742158791033492
Coherency140,0.003108986801242253,0.00030609947447932844
Energy140,0.013761160714285736,0.0007083977531780532
MeanInt140,-0.003866459627329166,0.00034340919815845463
VarInt140,-0.0031327639751552614,0.0005967577433304509
Density140,-0.008052212732919239,0.0002980642290010263
VarDensity140,-0.005883152173913031,0.000240413060899129
OrientationRef140,0.001432453416149071,0.00023951619548876689
