,mean,std
Angle20,0.022370291542188482,0.001504966239595316
Coherency20,0.031274793384897685,0.006467049709019521
Energy20,0.0546635858507978,0.004731550223937674
MeanInt20,0.01901221707831274,0.0013662281109189686
VarInt20,0.023860874238801,0.0027909719374841703
Density20,0.01034000719539504,0.0026614498264656158
VarDensity20,0.009859329262282536,0.00179102916945453
OrientationRef20,0.021779204238881,0.0014130272902231169
Angle60,0.02533277452291512,0.001972811716063018
Coherency60,0.029708015234738296,0.004465966186822365
Energy60,0.06043133999113121,0.013495458049248791
MeanInt60,0.022552656736886032,0.0027767431351099045
VarInt60,0.02851737836143155,0.007722054527728715
Density60,0.017010725204536354,0.005847398539847611
VarDensity60,0.01440112499386004,0.005862629440310475
OrientationRef60,0.025334464178700052,0.002400557586712287
Angle100,0.027549853857687233,0.0016591473440274588
Coherency100,0.031647311223301264,0.003740118881364278
Energy100,0.051557458078413894,0.00783180251375934
MeanInt100,0.026782626406134,0.00357933578723196
VarInt100,0.03687619745419852,0.010242797670748835
Density100,0.020709619606019837,0.009428644901606139
VarDensity100,0.01639864036219925,0.005031417551797623
OrientationRef100,0.028814837711166646,0.002274524376680516
Angle140,0.03033003342817484,0.0024614158028875626
Coherency140,0.0370896755845898,0.0030060519162890234
Energy140,0.05846479552440284,0.009233884605465158
MeanInt140,0.032343160305609284,0.003072201083175666
VarInt140,0.04676096598289107,0.01358985673915412
Density140,0.02662878598318274,0.008617134065831778
VarDensity140,0.022616406350248475,0.008379448255653673
OrientationRef140,0.03301173431824405,0.0032462876272127605
Dist,0.05596911580778135,0.003638617633850502
