,mean,std
Angle20,0.00395654049635571,0.0004105429435668581
Coherency20,0.011540382825094864,0.0007370967584838162
Energy20,0.04751254512840314,0.0010406611464015081
MeanInt20,0.002591902999477802,0.0003047635158417659
VarInt20,0.005906995753956601,0.0005955552467318571
Density20,0.0015951045616585113,0.0004227927955038646
VarDensity20,0.0011080584001272099,0.0002993506518866466
OrientationRef20,0.0029710951159147682,0.0002687607045535081
Angle60,0.006174927908085692,0.00025071756317292796
Coherency60,0.011653913398878368,0.0005521193857202384
Energy60,0.08153084625689702,0.0011824436809042304
MeanInt60,0.006063667945777851,0.0006049901429957554
VarInt60,0.009569492064212948,0.0008460648449411598
Density60,0.006232828500715304,0.0005953377017853562
VarDensity60,0.0038146272791263367,0.0003931831113568862
OrientationRef60,0.0066233736745306086,0.00041880934720123924
Angle100,0.009185758724824656,0.0005729965777394437
Coherency100,0.012723371403919114,0.0004707358747194054
Energy100,0.04501260189369003,0.0005970413015006493
MeanInt100,0.009840830135555544,0.0005726444328002062
VarInt100,0.021520855566404075,0.0004220589743555158
Density100,0.007688290456620017,0.0003934387251386811
VarDensity100,0.004735360232510677,0.00032277243286570165
OrientationRef100,0.01193773983333717,0.0006448946327316935
Angle140,0.0117708498898754,0.0005094677383104576
Coherency140,0.017566585681524093,0.00042612699317678103
Energy140,0.06843622987670585,0.0009285385165163551
MeanInt140,0.019170772689085236,0.0006757921112992765
VarInt140,0.0477566358620377,0.0011290471436814092
Density140,0.013118457800685768,0.0006760028319611567
VarDensity140,0.009426443541245711,0.0003895290073057934
OrientationRef140,0.019824708794078293,0.0006024570258982174
Dist,0.049943234713108284,0.0011396394432880333
