,mean,std
Coherency20,0.03850377263356829,0.008147024605876541
Energy20,0.06990196278788431,0.005842382837787475
MeanInt20,0.02383291765773107,0.0015065201667099788
VarInt20,0.029709296849544414,0.002261030698745651
Density20,0.012615302734080758,0.0031860136638372674
VarDensity20,0.012616646616307835,0.0028623561241165477
OrientationRef20,0.02743094593152118,0.001634020756910174
Coherency60,0.03510387086339879,0.004773909082504145
Energy60,0.06789928876194191,0.010490185914859318
MeanInt60,0.026614897027761368,0.0028179114920716887
VarInt60,0.03402039384758714,0.007744985516905028
Density60,0.019315510466667313,0.007727401957313473
VarDensity60,0.015661017409074798,0.00435228932749069
OrientationRef60,0.03109525094780582,0.002367864945380049
Coherency100,0.03700375278292753,0.003574314520565059
Energy100,0.057183382230462744,0.011093301396632218
MeanInt100,0.03211052609156687,0.0033666378956881105
VarInt100,0.0413267339116333,0.008140452265149886
Density100,0.025877759751456567,0.010611182497092503
VarDensity100,0.019794867143063832,0.00735322860822695
OrientationRef100,0.03452336426278204,0.0028203778893315266
Coherency140,0.04193581379351207,0.003825766489841625
Energy140,0.07257639557510077,0.011519952007614976
MeanInt140,0.04023627875245061,0.004830517965672829
VarInt140,0.05837336600422835,0.012848391225104361
Density140,0.031182940227694324,0.010108056263957195
VarDensity140,0.025749843984780897,0.008071249162071066
OrientationRef140,0.03780390095346509,0.0034734568936633766
