,mean,std
Coherency20,0.01021207511182758,0.0004644566161059424
Energy20,0.061573306691492004,0.0014648721956568693
MeanInt20,0.0011409822665243263,0.00029580107225968114
VarInt20,0.00707522535818893,0.0004971239242665298
Density20,0.0006709656910605655,0.00030452658610865256
VarDensity20,0.0008253672714061411,0.00041741750722655346
OrientationRef20,0.0018460071297199843,0.0004773471246592328
Coherency60,0.008037964623873173,0.00045590689512988483
Energy60,0.08836425149292701,0.0010182755829716383
MeanInt60,0.0031640970913466627,0.00047054416909709536
VarInt60,0.006801616675370626,0.000576137181262007
Density60,0.001903907722349596,0.0004342466533381683
VarDensity60,0.00033832110987486175,0.00042768942657188695
OrientationRef60,0.0055289389432574,0.0006114651730510152
Coherency100,0.009000703889557404,0.0005417633302068469
Energy100,0.03684294180422785,0.0005134243687348833
MeanInt100,0.01089666447174219,0.00042314476039096013
VarInt100,0.01303103925887238,0.0008311461574239365
Density100,0.005771894371154107,0.0005981283693061926
VarDensity100,0.003178856065938518,0.00036693390563429727
OrientationRef100,0.008445539383756018,0.0002875014680682716
Coherency140,0.014561431393474234,0.0006583637875818268
Energy140,0.08717558638541353,0.0015548898040542772
MeanInt140,0.021420948661474492,0.0005756302383231058
VarInt140,0.06015530982493581,0.0012746930511560045
Density140,0.011980881451374803,0.0005267390419720354
VarDensity140,0.007247791830339867,0.00041865543993988046
OrientationRef140,0.012613246747349038,0.0005960301061211701
