,mean,std
Angle20,0.01489708426581281,0.0018176037442480958
Coherency20,0.018880583828744302,0.003138868818406632
Energy20,0.07275759052320555,0.015311720804077132
MeanInt20,0.011694888818687008,0.004310866949402172
VarInt20,0.014297144131352527,0.0032863425983500768
Density20,0.009652858961135801,0.011963986699671428
VarDensity20,0.005148416000977598,0.0009544738202298873
OrientationRef20,0.013920189897761639,0.002493865582166917
Angle60,0.020691966683374738,0.0035360079947262964
Coherency60,0.026461841298234534,0.007468835797732226
Energy60,0.06534780894969483,0.010761994914717582
MeanInt60,0.019647357663258536,0.011105880440098484
VarInt60,0.01924466693040152,0.005520513206132603
Density60,0.027301861767817365,0.021543695937728365
VarDensity60,0.017034863500333446,0.017949013061973773
OrientationRef60,0.021427126169133816,0.0016048736185379085
Angle100,0.02557873519576903,0.003066005748223347
Coherency100,0.04710237390690505,0.011214525691104104
Energy100,0.05697068868033685,0.010199886215196626
MeanInt100,0.03547399809810509,0.013819761699813088
VarInt100,0.029563850624114606,0.013385628987367856
Density100,0.014405675673064663,0.00439215636242487
VarDensity100,0.01618514066505302,0.016814072643778762
OrientationRef100,0.027124485969714972,0.004486473916342234
Angle140,0.029738831855532867,0.003936607357180281
Coherency140,0.05477271996000079,0.016108715697159784
Energy140,0.06605507788086026,0.01445728510795134
MeanInt140,0.02709294439389818,0.00304083380853651
VarInt140,0.03569657080321018,0.008878664278842341
Density140,0.026302059157294812,0.011895744299866833
VarDensity140,0.024867748856314566,0.020293766620641005
OrientationRef140,0.02898920197500681,0.004535868386876583
Dist,0.07567364691489219,0.008644676397934961
